==========================================
SLURM_JOB_ID = 9442660
SLURM_NODELIST = gpu-4-56
CUDA_VISIBLE_DEVICES = 0
==========================================
Unloading openmpi/4.1.5
Unloading slurm/23.02.7
Loading slurm/23.02.7
Loading openmpi/4.1.5
+ python CNN.py /home/zhuosl/VPML/Genome_matrix/genome_matrix_full.csv
wandb: Currently logged in as: zsliu. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.16.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.16.0
wandb: Run data is saved locally in /home/zhuosl/VPML/DL_model/wandb/run-20240121_214450-9jo2nh3e
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run CNN_full_genome_matrix
wandb: ⭐️ View project at https://wandb.ai/zsliu/VPML
wandb: 🚀 View run at https://wandb.ai/zsliu/VPML/runs/9jo2nh3e
Fold 1/10
Epoch [1/100], Training Loss: 0.6842, Training Accuracy: 55.87%, Validation Accuracy: 61.11%
Epoch [2/100], Training Loss: 0.6595, Training Accuracy: 58.59%, Validation Accuracy: 61.11%
Epoch [3/100], Training Loss: 0.6138, Training Accuracy: 76.52%, Validation Accuracy: 79.80%
Epoch [4/100], Training Loss: 0.5725, Training Accuracy: 79.48%, Validation Accuracy: 73.23%
Epoch [5/100], Training Loss: 0.5381, Training Accuracy: 82.13%, Validation Accuracy: 84.34%
Epoch [6/100], Training Loss: 0.5014, Training Accuracy: 83.14%, Validation Accuracy: 82.32%
Epoch [7/100], Training Loss: 0.4833, Training Accuracy: 85.35%, Validation Accuracy: 87.88%
Epoch [8/100], Training Loss: 0.4714, Training Accuracy: 86.43%, Validation Accuracy: 86.36%
Epoch [9/100], Training Loss: 0.4586, Training Accuracy: 86.30%, Validation Accuracy: 87.88%
Epoch [10/100], Training Loss: 0.4423, Training Accuracy: 87.63%, Validation Accuracy: 89.39%
Epoch [11/100], Training Loss: 0.4325, Training Accuracy: 87.75%, Validation Accuracy: 87.88%
Epoch [12/100], Training Loss: 0.4339, Training Accuracy: 88.83%, Validation Accuracy: 89.90%
Epoch [13/100], Training Loss: 0.4307, Training Accuracy: 89.27%, Validation Accuracy: 87.88%
Epoch [14/100], Training Loss: 0.4219, Training Accuracy: 89.33%, Validation Accuracy: 89.90%
Epoch [15/100], Training Loss: 0.4215, Training Accuracy: 89.84%, Validation Accuracy: 88.89%
Epoch [16/100], Training Loss: 0.4197, Training Accuracy: 90.28%, Validation Accuracy: 89.90%
Epoch [17/100], Training Loss: 0.4095, Training Accuracy: 90.47%, Validation Accuracy: 89.39%
Epoch [18/100], Training Loss: 0.4081, Training Accuracy: 90.78%, Validation Accuracy: 89.90%
Epoch [19/100], Training Loss: 0.4010, Training Accuracy: 91.29%, Validation Accuracy: 90.40%
Epoch [20/100], Training Loss: 0.4022, Training Accuracy: 91.60%, Validation Accuracy: 89.90%
Epoch [21/100], Training Loss: 0.3909, Training Accuracy: 92.49%, Validation Accuracy: 90.91%
Epoch [22/100], Training Loss: 0.3966, Training Accuracy: 92.49%, Validation Accuracy: 91.41%
Epoch [23/100], Training Loss: 0.3882, Training Accuracy: 92.23%, Validation Accuracy: 90.40%
Epoch [24/100], Training Loss: 0.3931, Training Accuracy: 92.80%, Validation Accuracy: 91.92%
Epoch [25/100], Training Loss: 0.3818, Training Accuracy: 93.37%, Validation Accuracy: 91.92%
Epoch [26/100], Training Loss: 0.3829, Training Accuracy: 93.81%, Validation Accuracy: 91.92%
Epoch [27/100], Training Loss: 0.3831, Training Accuracy: 93.37%, Validation Accuracy: 90.91%
Epoch [28/100], Training Loss: 0.3722, Training Accuracy: 94.44%, Validation Accuracy: 89.90%
Epoch [29/100], Training Loss: 0.3767, Training Accuracy: 94.44%, Validation Accuracy: 91.41%
Epoch [30/100], Training Loss: 0.3771, Training Accuracy: 94.32%, Validation Accuracy: 88.89%
Epoch [31/100], Training Loss: 0.3657, Training Accuracy: 95.45%, Validation Accuracy: 92.42%
Epoch [32/100], Training Loss: 0.3672, Training Accuracy: 95.45%, Validation Accuracy: 89.90%
Epoch [33/100], Training Loss: 0.3656, Training Accuracy: 95.45%, Validation Accuracy: 91.92%
Epoch [34/100], Training Loss: 0.3598, Training Accuracy: 96.02%, Validation Accuracy: 90.91%
Epoch [35/100], Training Loss: 0.3613, Training Accuracy: 96.02%, Validation Accuracy: 91.92%
Epoch [36/100], Training Loss: 0.3615, Training Accuracy: 96.15%, Validation Accuracy: 91.41%
Epoch [37/100], Training Loss: 0.3598, Training Accuracy: 96.46%, Validation Accuracy: 91.92%
Epoch [38/100], Training Loss: 0.3540, Training Accuracy: 96.53%, Validation Accuracy: 91.41%
Epoch [39/100], Training Loss: 0.3524, Training Accuracy: 96.65%, Validation Accuracy: 91.92%
Epoch [40/100], Training Loss: 0.3571, Training Accuracy: 96.72%, Validation Accuracy: 91.92%
Epoch [41/100], Training Loss: 0.3570, Training Accuracy: 96.46%, Validation Accuracy: 91.41%
Epoch [42/100], Training Loss: 0.3506, Training Accuracy: 96.65%, Validation Accuracy: 91.92%
Epoch [43/100], Training Loss: 0.3474, Training Accuracy: 96.72%, Validation Accuracy: 91.92%
Epoch [44/100], Training Loss: 0.3544, Training Accuracy: 97.03%, Validation Accuracy: 91.92%
Epoch [45/100], Training Loss: 0.3483, Training Accuracy: 96.97%, Validation Accuracy: 91.92%
Epoch [46/100], Training Loss: 0.3480, Training Accuracy: 96.46%, Validation Accuracy: 91.41%
Epoch [47/100], Training Loss: 0.3489, Training Accuracy: 96.84%, Validation Accuracy: 91.92%
Epoch [48/100], Training Loss: 0.3486, Training Accuracy: 96.72%, Validation Accuracy: 91.41%
Epoch [49/100], Training Loss: 0.3468, Training Accuracy: 96.91%, Validation Accuracy: 91.41%
Epoch [50/100], Training Loss: 0.3427, Training Accuracy: 97.03%, Validation Accuracy: 91.41%
Epoch [51/100], Training Loss: 0.3498, Training Accuracy: 97.22%, Validation Accuracy: 91.41%
Epoch [52/100], Training Loss: 0.3466, Training Accuracy: 97.35%, Validation Accuracy: 91.41%
Epoch [53/100], Training Loss: 0.3455, Training Accuracy: 97.73%, Validation Accuracy: 91.92%
Epoch [54/100], Training Loss: 0.3408, Training Accuracy: 97.35%, Validation Accuracy: 91.92%
Epoch [55/100], Training Loss: 0.3397, Training Accuracy: 97.41%, Validation Accuracy: 91.92%
Epoch [56/100], Training Loss: 0.3384, Training Accuracy: 97.73%, Validation Accuracy: 91.92%
Epoch [57/100], Training Loss: 0.3434, Training Accuracy: 97.79%, Validation Accuracy: 91.92%
Epoch [58/100], Training Loss: 0.3382, Training Accuracy: 97.66%, Validation Accuracy: 91.92%
Epoch [59/100], Training Loss: 0.3451, Training Accuracy: 97.54%, Validation Accuracy: 91.92%
Epoch [60/100], Training Loss: 0.3394, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [61/100], Training Loss: 0.3414, Training Accuracy: 97.92%, Validation Accuracy: 92.93%
Epoch [62/100], Training Loss: 0.3384, Training Accuracy: 97.92%, Validation Accuracy: 92.42%
Epoch [63/100], Training Loss: 0.3385, Training Accuracy: 97.73%, Validation Accuracy: 92.42%
Epoch [64/100], Training Loss: 0.3400, Training Accuracy: 97.79%, Validation Accuracy: 91.92%
Epoch [65/100], Training Loss: 0.3364, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [66/100], Training Loss: 0.3417, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [67/100], Training Loss: 0.3344, Training Accuracy: 97.92%, Validation Accuracy: 91.92%
Epoch [68/100], Training Loss: 0.3375, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [69/100], Training Loss: 0.3377, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [70/100], Training Loss: 0.3357, Training Accuracy: 97.98%, Validation Accuracy: 92.42%
Epoch [71/100], Training Loss: 0.3326, Training Accuracy: 98.23%, Validation Accuracy: 92.42%
Epoch [72/100], Training Loss: 0.3350, Training Accuracy: 97.98%, Validation Accuracy: 92.42%
Epoch [73/100], Training Loss: 0.3325, Training Accuracy: 98.30%, Validation Accuracy: 92.93%
Epoch [74/100], Training Loss: 0.3328, Training Accuracy: 97.98%, Validation Accuracy: 92.42%
Epoch [75/100], Training Loss: 0.3333, Training Accuracy: 97.92%, Validation Accuracy: 92.93%
Epoch [76/100], Training Loss: 0.3321, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [77/100], Training Loss: 0.3382, Training Accuracy: 97.85%, Validation Accuracy: 92.93%
Epoch [78/100], Training Loss: 0.3358, Training Accuracy: 97.98%, Validation Accuracy: 92.42%
Epoch [79/100], Training Loss: 0.3339, Training Accuracy: 98.17%, Validation Accuracy: 91.92%
Epoch [80/100], Training Loss: 0.3317, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [81/100], Training Loss: 0.3350, Training Accuracy: 98.23%, Validation Accuracy: 92.42%
Epoch [82/100], Training Loss: 0.3336, Training Accuracy: 98.36%, Validation Accuracy: 92.42%
Epoch [83/100], Training Loss: 0.3322, Training Accuracy: 98.17%, Validation Accuracy: 92.42%
Epoch [84/100], Training Loss: 0.3358, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [85/100], Training Loss: 0.3315, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [86/100], Training Loss: 0.3372, Training Accuracy: 97.92%, Validation Accuracy: 92.42%
Epoch [87/100], Training Loss: 0.3318, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [88/100], Training Loss: 0.3330, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [89/100], Training Loss: 0.3353, Training Accuracy: 98.17%, Validation Accuracy: 92.42%
Epoch [90/100], Training Loss: 0.3334, Training Accuracy: 98.11%, Validation Accuracy: 91.92%
Epoch [91/100], Training Loss: 0.3380, Training Accuracy: 98.11%, Validation Accuracy: 91.92%
Epoch [92/100], Training Loss: 0.3344, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [93/100], Training Loss: 0.3328, Training Accuracy: 98.23%, Validation Accuracy: 92.42%
Epoch [94/100], Training Loss: 0.3302, Training Accuracy: 98.23%, Validation Accuracy: 92.42%
Epoch [95/100], Training Loss: 0.3314, Training Accuracy: 98.36%, Validation Accuracy: 92.42%
Epoch [96/100], Training Loss: 0.3418, Training Accuracy: 97.73%, Validation Accuracy: 92.93%
Epoch [97/100], Training Loss: 0.3345, Training Accuracy: 98.30%, Validation Accuracy: 92.93%
Epoch [98/100], Training Loss: 0.3342, Training Accuracy: 98.17%, Validation Accuracy: 92.93%
Epoch [99/100], Training Loss: 0.3301, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [100/100], Training Loss: 0.3312, Training Accuracy: 98.17%, Validation Accuracy: 92.93%
Finished Training
Final Evaluation: Precision: 0.9142, Recall: 0.9141, F1 Score: 0.9139, Accuracy: 0.9141
Fold 2/10
Epoch [1/100], Training Loss: 0.6863, Training Accuracy: 54.04%, Validation Accuracy: 62.63%
Epoch [2/100], Training Loss: 0.6657, Training Accuracy: 56.88%, Validation Accuracy: 62.63%
Epoch [3/100], Training Loss: 0.6200, Training Accuracy: 73.48%, Validation Accuracy: 63.64%
Epoch [4/100], Training Loss: 0.5712, Training Accuracy: 77.78%, Validation Accuracy: 84.85%
Epoch [5/100], Training Loss: 0.5441, Training Accuracy: 80.74%, Validation Accuracy: 83.33%
Epoch [6/100], Training Loss: 0.5106, Training Accuracy: 82.83%, Validation Accuracy: 85.35%
Epoch [7/100], Training Loss: 0.4913, Training Accuracy: 84.28%, Validation Accuracy: 85.35%
Epoch [8/100], Training Loss: 0.4758, Training Accuracy: 85.23%, Validation Accuracy: 86.36%
Epoch [9/100], Training Loss: 0.4633, Training Accuracy: 85.67%, Validation Accuracy: 85.86%
Epoch [10/100], Training Loss: 0.4563, Training Accuracy: 87.06%, Validation Accuracy: 87.37%
Epoch [11/100], Training Loss: 0.4384, Training Accuracy: 88.45%, Validation Accuracy: 87.37%
Epoch [12/100], Training Loss: 0.4396, Training Accuracy: 89.20%, Validation Accuracy: 87.88%
Epoch [13/100], Training Loss: 0.4355, Training Accuracy: 88.89%, Validation Accuracy: 88.38%
Epoch [14/100], Training Loss: 0.4157, Training Accuracy: 89.46%, Validation Accuracy: 88.38%
Epoch [15/100], Training Loss: 0.4362, Training Accuracy: 89.58%, Validation Accuracy: 88.89%
Epoch [16/100], Training Loss: 0.4214, Training Accuracy: 90.47%, Validation Accuracy: 88.38%
Epoch [17/100], Training Loss: 0.4232, Training Accuracy: 89.77%, Validation Accuracy: 88.89%
Epoch [18/100], Training Loss: 0.4163, Training Accuracy: 90.91%, Validation Accuracy: 90.91%
Epoch [19/100], Training Loss: 0.4124, Training Accuracy: 90.85%, Validation Accuracy: 88.89%
Epoch [20/100], Training Loss: 0.4038, Training Accuracy: 91.86%, Validation Accuracy: 89.90%
Epoch [21/100], Training Loss: 0.4016, Training Accuracy: 92.05%, Validation Accuracy: 89.90%
Epoch [22/100], Training Loss: 0.3970, Training Accuracy: 91.92%, Validation Accuracy: 90.91%
Epoch [23/100], Training Loss: 0.3929, Training Accuracy: 92.23%, Validation Accuracy: 90.91%
Epoch [24/100], Training Loss: 0.3928, Training Accuracy: 92.68%, Validation Accuracy: 90.40%
Epoch [25/100], Training Loss: 0.3904, Training Accuracy: 93.18%, Validation Accuracy: 90.91%
Epoch [26/100], Training Loss: 0.3954, Training Accuracy: 93.50%, Validation Accuracy: 91.41%
Epoch [27/100], Training Loss: 0.3885, Training Accuracy: 93.18%, Validation Accuracy: 91.41%
Epoch [28/100], Training Loss: 0.3819, Training Accuracy: 93.37%, Validation Accuracy: 91.41%
