
Fold 1/10
Epoch [1/100], Training Loss: 0.6840, Training Accuracy: 55.43%, Validation Accuracy: 61.11%
Epoch [2/100], Training Loss: 0.6650, Training Accuracy: 58.33%, Validation Accuracy: 61.11%
Epoch [3/100], Training Loss: 0.6191, Training Accuracy: 73.55%, Validation Accuracy: 78.79%
Epoch [4/100], Training Loss: 0.5879, Training Accuracy: 74.24%, Validation Accuracy: 50.00%
Epoch [5/100], Training Loss: 0.5546, Training Accuracy: 78.03%, Validation Accuracy: 83.84%
Epoch [6/100], Training Loss: 0.5180, Training Accuracy: 80.74%, Validation Accuracy: 72.73%
Epoch [7/100], Training Loss: 0.4922, Training Accuracy: 83.71%, Validation Accuracy: 85.86%
Epoch [8/100], Training Loss: 0.4738, Training Accuracy: 85.29%, Validation Accuracy: 84.34%
Epoch [9/100], Training Loss: 0.4671, Training Accuracy: 86.43%, Validation Accuracy: 87.88%
Epoch [10/100], Training Loss: 0.4447, Training Accuracy: 87.18%, Validation Accuracy: 87.37%
Epoch [11/100], Training Loss: 0.4561, Training Accuracy: 86.81%, Validation Accuracy: 88.38%
Epoch [12/100], Training Loss: 0.4384, Training Accuracy: 87.88%, Validation Accuracy: 87.37%
Epoch [13/100], Training Loss: 0.4362, Training Accuracy: 88.45%, Validation Accuracy: 88.89%
Epoch [14/100], Training Loss: 0.4272, Training Accuracy: 89.52%, Validation Accuracy: 88.38%
Epoch [15/100], Training Loss: 0.4172, Training Accuracy: 89.39%, Validation Accuracy: 87.88%
Epoch [16/100], Training Loss: 0.4260, Training Accuracy: 90.34%, Validation Accuracy: 89.39%
Epoch [17/100], Training Loss: 0.4146, Training Accuracy: 90.28%, Validation Accuracy: 89.39%
Epoch [18/100], Training Loss: 0.4131, Training Accuracy: 91.35%, Validation Accuracy: 90.91%
Epoch [19/100], Training Loss: 0.3993, Training Accuracy: 91.86%, Validation Accuracy: 89.90%
Epoch [20/100], Training Loss: 0.4057, Training Accuracy: 91.41%, Validation Accuracy: 90.40%
Epoch [21/100], Training Loss: 0.4013, Training Accuracy: 91.79%, Validation Accuracy: 89.90%
Epoch [22/100], Training Loss: 0.3999, Training Accuracy: 92.23%, Validation Accuracy: 90.40%
Epoch [23/100], Training Loss: 0.3921, Training Accuracy: 91.98%, Validation Accuracy: 90.40%
Epoch [24/100], Training Loss: 0.3934, Training Accuracy: 92.74%, Validation Accuracy: 90.40%
Epoch [25/100], Training Loss: 0.3936, Training Accuracy: 92.74%, Validation Accuracy: 90.40%
Epoch [26/100], Training Loss: 0.3939, Training Accuracy: 92.99%, Validation Accuracy: 90.40%
Epoch [27/100], Training Loss: 0.3892, Training Accuracy: 94.13%, Validation Accuracy: 91.92%
Epoch [28/100], Training Loss: 0.3783, Training Accuracy: 94.00%, Validation Accuracy: 89.90%
Epoch [29/100], Training Loss: 0.3740, Training Accuracy: 94.26%, Validation Accuracy: 90.91%
Epoch [30/100], Training Loss: 0.3836, Training Accuracy: 94.07%, Validation Accuracy: 89.90%
Epoch [31/100], Training Loss: 0.3737, Training Accuracy: 94.76%, Validation Accuracy: 89.90%
Epoch [32/100], Training Loss: 0.3672, Training Accuracy: 94.89%, Validation Accuracy: 89.39%
Epoch [33/100], Training Loss: 0.3700, Training Accuracy: 95.27%, Validation Accuracy: 89.39%
Epoch [34/100], Training Loss: 0.3664, Training Accuracy: 95.58%, Validation Accuracy: 89.90%
Epoch [35/100], Training Loss: 0.3648, Training Accuracy: 95.96%, Validation Accuracy: 89.39%
Epoch [36/100], Training Loss: 0.3643, Training Accuracy: 95.90%, Validation Accuracy: 89.90%
Epoch [37/100], Training Loss: 0.3560, Training Accuracy: 96.40%, Validation Accuracy: 91.41%
Epoch [38/100], Training Loss: 0.3623, Training Accuracy: 96.02%, Validation Accuracy: 89.39%
Epoch [39/100], Training Loss: 0.3569, Training Accuracy: 96.15%, Validation Accuracy: 89.90%
Epoch [40/100], Training Loss: 0.3542, Training Accuracy: 96.65%, Validation Accuracy: 89.39%
Epoch [41/100], Training Loss: 0.3540, Training Accuracy: 96.46%, Validation Accuracy: 90.40%
Epoch [42/100], Training Loss: 0.3521, Training Accuracy: 96.15%, Validation Accuracy: 90.40%
Epoch [43/100], Training Loss: 0.3568, Training Accuracy: 96.28%, Validation Accuracy: 90.40%
Epoch [44/100], Training Loss: 0.3564, Training Accuracy: 96.84%, Validation Accuracy: 90.40%
Epoch [45/100], Training Loss: 0.3487, Training Accuracy: 96.91%, Validation Accuracy: 90.91%
Epoch [46/100], Training Loss: 0.3531, Training Accuracy: 96.84%, Validation Accuracy: 90.91%
Epoch [47/100], Training Loss: 0.3528, Training Accuracy: 97.03%, Validation Accuracy: 90.91%
Epoch [48/100], Training Loss: 0.3465, Training Accuracy: 97.16%, Validation Accuracy: 90.91%
Epoch [49/100], Training Loss: 0.3465, Training Accuracy: 97.10%, Validation Accuracy: 90.91%
Epoch [50/100], Training Loss: 0.3482, Training Accuracy: 96.91%, Validation Accuracy: 90.91%
Epoch [51/100], Training Loss: 0.3454, Training Accuracy: 97.29%, Validation Accuracy: 89.90%
Epoch [52/100], Training Loss: 0.3400, Training Accuracy: 97.60%, Validation Accuracy: 89.90%
Epoch [53/100], Training Loss: 0.3420, Training Accuracy: 97.41%, Validation Accuracy: 89.90%
Epoch [54/100], Training Loss: 0.3414, Training Accuracy: 97.66%, Validation Accuracy: 89.90%
Epoch [55/100], Training Loss: 0.3450, Training Accuracy: 97.29%, Validation Accuracy: 89.90%
Epoch [56/100], Training Loss: 0.3447, Training Accuracy: 97.73%, Validation Accuracy: 90.40%
Epoch [57/100], Training Loss: 0.3389, Training Accuracy: 97.29%, Validation Accuracy: 90.40%
Epoch [58/100], Training Loss: 0.3363, Training Accuracy: 97.79%, Validation Accuracy: 90.91%
Epoch [59/100], Training Loss: 0.3372, Training Accuracy: 97.79%, Validation Accuracy: 90.91%
Epoch [60/100], Training Loss: 0.3408, Training Accuracy: 97.85%, Validation Accuracy: 90.91%
Epoch [61/100], Training Loss: 0.3378, Training Accuracy: 97.54%, Validation Accuracy: 90.40%
Epoch [62/100], Training Loss: 0.3388, Training Accuracy: 97.92%, Validation Accuracy: 91.41%
Epoch [63/100], Training Loss: 0.3421, Training Accuracy: 97.47%, Validation Accuracy: 90.40%
Epoch [64/100], Training Loss: 0.3363, Training Accuracy: 97.98%, Validation Accuracy: 91.41%
Epoch [65/100], Training Loss: 0.3400, Training Accuracy: 97.66%, Validation Accuracy: 90.91%
Epoch [66/100], Training Loss: 0.3391, Training Accuracy: 97.73%, Validation Accuracy: 90.40%
Epoch [67/100], Training Loss: 0.3351, Training Accuracy: 97.92%, Validation Accuracy: 91.41%
Epoch [68/100], Training Loss: 0.3405, Training Accuracy: 97.60%, Validation Accuracy: 91.92%
Epoch [69/100], Training Loss: 0.3364, Training Accuracy: 97.85%, Validation Accuracy: 90.91%
Epoch [70/100], Training Loss: 0.3377, Training Accuracy: 97.66%, Validation Accuracy: 90.91%
Epoch [71/100], Training Loss: 0.3342, Training Accuracy: 97.73%, Validation Accuracy: 91.41%
Epoch [72/100], Training Loss: 0.3344, Training Accuracy: 97.79%, Validation Accuracy: 90.91%
Epoch [73/100], Training Loss: 0.3356, Training Accuracy: 97.98%, Validation Accuracy: 90.91%
Epoch [74/100], Training Loss: 0.3396, Training Accuracy: 97.98%, Validation Accuracy: 90.91%
Epoch [75/100], Training Loss: 0.3368, Training Accuracy: 97.98%, Validation Accuracy: 91.41%
Epoch [76/100], Training Loss: 0.3349, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [77/100], Training Loss: 0.3387, Training Accuracy: 98.04%, Validation Accuracy: 90.91%
Epoch [78/100], Training Loss: 0.3337, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [79/100], Training Loss: 0.3330, Training Accuracy: 98.04%, Validation Accuracy: 90.91%
Epoch [80/100], Training Loss: 0.3360, Training Accuracy: 97.98%, Validation Accuracy: 91.41%
Epoch [81/100], Training Loss: 0.3319, Training Accuracy: 98.17%, Validation Accuracy: 91.92%
Epoch [82/100], Training Loss: 0.3335, Training Accuracy: 97.92%, Validation Accuracy: 91.92%
Epoch [83/100], Training Loss: 0.3348, Training Accuracy: 97.79%, Validation Accuracy: 91.41%
Epoch [84/100], Training Loss: 0.3326, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [85/100], Training Loss: 0.3354, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [86/100], Training Loss: 0.3340, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [87/100], Training Loss: 0.3349, Training Accuracy: 98.04%, Validation Accuracy: 90.91%
Epoch [88/100], Training Loss: 0.3357, Training Accuracy: 97.98%, Validation Accuracy: 91.41%
Epoch [89/100], Training Loss: 0.3324, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [90/100], Training Loss: 0.3309, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [91/100], Training Loss: 0.3368, Training Accuracy: 98.23%, Validation Accuracy: 91.92%
Epoch [92/100], Training Loss: 0.3305, Training Accuracy: 98.42%, Validation Accuracy: 91.41%
Epoch [93/100], Training Loss: 0.3329, Training Accuracy: 98.36%, Validation Accuracy: 91.41%
Epoch [94/100], Training Loss: 0.3377, Training Accuracy: 98.30%, Validation Accuracy: 91.41%
Epoch [95/100], Training Loss: 0.3337, Training Accuracy: 98.23%, Validation Accuracy: 91.92%
Epoch [96/100], Training Loss: 0.3308, Training Accuracy: 98.30%, Validation Accuracy: 91.92%
Epoch [97/100], Training Loss: 0.3318, Training Accuracy: 98.30%, Validation Accuracy: 91.92%
Epoch [98/100], Training Loss: 0.3304, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [99/100], Training Loss: 0.3300, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [100/100], Training Loss: 0.3328, Training Accuracy: 98.17%, Validation Accuracy: 91.92%
Finished Training
Final Evaluation: Precision: 0.9090, Recall: 0.9091, F1 Score: 0.9090, Accuracy: 0.9091
Fold 2/10
Epoch [1/100], Training Loss: 0.6885, Training Accuracy: 55.62%, Validation Accuracy: 37.37%
Epoch [2/100], Training Loss: 0.6628, Training Accuracy: 62.25%, Validation Accuracy: 37.37%
Epoch [3/100], Training Loss: 0.6169, Training Accuracy: 76.20%, Validation Accuracy: 41.41%
Epoch [4/100], Training Loss: 0.5678, Training Accuracy: 78.03%, Validation Accuracy: 56.57%
Epoch [5/100], Training Loss: 0.5394, Training Accuracy: 80.93%, Validation Accuracy: 87.88%
Epoch [6/100], Training Loss: 0.5175, Training Accuracy: 82.13%, Validation Accuracy: 87.37%
Epoch [7/100], Training Loss: 0.4861, Training Accuracy: 84.03%, Validation Accuracy: 84.85%
Epoch [8/100], Training Loss: 0.4747, Training Accuracy: 85.48%, Validation Accuracy: 86.87%
Epoch [9/100], Training Loss: 0.4592, Training Accuracy: 86.24%, Validation Accuracy: 86.87%
Epoch [10/100], Training Loss: 0.4476, Training Accuracy: 87.18%, Validation Accuracy: 86.36%
Epoch [11/100], Training Loss: 0.4401, Training Accuracy: 87.50%, Validation Accuracy: 86.36%
Epoch [12/100], Training Loss: 0.4474, Training Accuracy: 87.12%, Validation Accuracy: 87.37%
Epoch [13/100], Training Loss: 0.4377, Training Accuracy: 89.02%, Validation Accuracy: 87.37%
Epoch [14/100], Training Loss: 0.4286, Training Accuracy: 89.65%, Validation Accuracy: 87.88%
Epoch [15/100], Training Loss: 0.4194, Training Accuracy: 89.58%, Validation Accuracy: 88.38%
Epoch [16/100], Training Loss: 0.4265, Training Accuracy: 89.58%, Validation Accuracy: 89.90%
Epoch [17/100], Training Loss: 0.4173, Training Accuracy: 90.85%, Validation Accuracy: 88.89%
Epoch [18/100], Training Loss: 0.4110, Training Accuracy: 91.10%, Validation Accuracy: 90.40%
Epoch [19/100], Training Loss: 0.4072, Training Accuracy: 90.97%, Validation Accuracy: 88.89%
Epoch [20/100], Training Loss: 0.4152, Training Accuracy: 90.91%, Validation Accuracy: 91.41%
Epoch [21/100], Training Loss: 0.4042, Training Accuracy: 91.79%, Validation Accuracy: 88.38%
Epoch [22/100], Training Loss: 0.3999, Training Accuracy: 91.35%, Validation Accuracy: 91.41%
Epoch [23/100], Training Loss: 0.3997, Training Accuracy: 92.30%, Validation Accuracy: 91.41%
Epoch [24/100], Training Loss: 0.4013, Training Accuracy: 92.61%, Validation Accuracy: 91.41%
Epoch [25/100], Training Loss: 0.3864, Training Accuracy: 92.93%, Validation Accuracy: 90.40%
Epoch [26/100], Training Loss: 0.3895, Training Accuracy: 92.99%, Validation Accuracy: 90.91%
Epoch [27/100], Training Loss: 0.3817, Training Accuracy: 93.06%, Validation Accuracy: 89.90%
Epoch [28/100], Training Loss: 0.3868, Training Accuracy: 93.24%, Validation Accuracy: 91.41%
Epoch [29/100], Training Loss: 0.3882, Training Accuracy: 93.62%, Validation Accuracy: 90.91%
Epoch [30/100], Training Loss: 0.3779, Training Accuracy: 94.07%, Validation Accuracy: 90.91%
Epoch [31/100], Training Loss: 0.3744, Training Accuracy: 94.44%, Validation Accuracy: 90.91%
Epoch [32/100], Training Loss: 0.3741, Training Accuracy: 94.51%, Validation Accuracy: 90.91%
Epoch [33/100], Training Loss: 0.3721, Training Accuracy: 94.51%, Validation Accuracy: 91.41%
Epoch [34/100], Training Loss: 0.3759, Training Accuracy: 94.44%, Validation Accuracy: 91.92%
Epoch [35/100], Training Loss: 0.3641, Training Accuracy: 95.20%, Validation Accuracy: 91.92%
Epoch [36/100], Training Loss: 0.3616, Training Accuracy: 95.64%, Validation Accuracy: 92.42%
Epoch [37/100], Training Loss: 0.3610, Training Accuracy: 95.45%, Validation Accuracy: 92.42%
Epoch [38/100], Training Loss: 0.3592, Training Accuracy: 96.46%, Validation Accuracy: 92.42%
Epoch [39/100], Training Loss: 0.3592, Training Accuracy: 95.96%, Validation Accuracy: 92.42%
Epoch [40/100], Training Loss: 0.3569, Training Accuracy: 96.65%, Validation Accuracy: 92.42%
Epoch [41/100], Training Loss: 0.3502, Training Accuracy: 96.65%, Validation Accuracy: 91.92%
Epoch [42/100], Training Loss: 0.3562, Training Accuracy: 97.10%, Validation Accuracy: 92.42%
Epoch [43/100], Training Loss: 0.3471, Training Accuracy: 96.72%, Validation Accuracy: 92.42%
Epoch [44/100], Training Loss: 0.3521, Training Accuracy: 97.10%, Validation Accuracy: 91.92%
Epoch [45/100], Training Loss: 0.3443, Training Accuracy: 97.29%, Validation Accuracy: 91.41%
Epoch [46/100], Training Loss: 0.3476, Training Accuracy: 97.54%, Validation Accuracy: 91.92%
Epoch [47/100], Training Loss: 0.3464, Training Accuracy: 97.16%, Validation Accuracy: 91.41%
Epoch [48/100], Training Loss: 0.3425, Training Accuracy: 97.47%, Validation Accuracy: 91.41%
Epoch [49/100], Training Loss: 0.3415, Training Accuracy: 97.41%, Validation Accuracy: 91.92%
Epoch [50/100], Training Loss: 0.3408, Training Accuracy: 97.60%, Validation Accuracy: 91.92%
Epoch [51/100], Training Loss: 0.3407, Training Accuracy: 97.92%, Validation Accuracy: 91.92%
Epoch [52/100], Training Loss: 0.3400, Training Accuracy: 97.73%, Validation Accuracy: 91.92%
Epoch [53/100], Training Loss: 0.3415, Training Accuracy: 97.73%, Validation Accuracy: 91.92%
Epoch [54/100], Training Loss: 0.3411, Training Accuracy: 97.66%, Validation Accuracy: 91.92%
Epoch [55/100], Training Loss: 0.3396, Training Accuracy: 97.54%, Validation Accuracy: 91.41%
Epoch [56/100], Training Loss: 0.3394, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [57/100], Training Loss: 0.3396, Training Accuracy: 97.73%, Validation Accuracy: 91.41%
Epoch [58/100], Training Loss: 0.3388, Training Accuracy: 97.73%, Validation Accuracy: 91.92%
Epoch [59/100], Training Loss: 0.3394, Training Accuracy: 97.66%, Validation Accuracy: 91.92%
Epoch [60/100], Training Loss: 0.3418, Training Accuracy: 97.79%, Validation Accuracy: 91.41%
Epoch [61/100], Training Loss: 0.3391, Training Accuracy: 97.85%, Validation Accuracy: 91.92%
Epoch [62/100], Training Loss: 0.3360, Training Accuracy: 97.85%, Validation Accuracy: 91.92%
Epoch [63/100], Training Loss: 0.3402, Training Accuracy: 97.85%, Validation Accuracy: 91.92%
Epoch [64/100], Training Loss: 0.3385, Training Accuracy: 97.79%, Validation Accuracy: 91.41%
Epoch [65/100], Training Loss: 0.3406, Training Accuracy: 97.60%, Validation Accuracy: 91.41%
Epoch [66/100], Training Loss: 0.3378, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [67/100], Training Loss: 0.3393, Training Accuracy: 97.92%, Validation Accuracy: 91.92%
Epoch [68/100], Training Loss: 0.3370, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [69/100], Training Loss: 0.3348, Training Accuracy: 97.79%, Validation Accuracy: 91.41%
Epoch [70/100], Training Loss: 0.3394, Training Accuracy: 97.92%, Validation Accuracy: 91.41%
Epoch [71/100], Training Loss: 0.3363, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [72/100], Training Loss: 0.3355, Training Accuracy: 98.11%, Validation Accuracy: 90.91%
Epoch [73/100], Training Loss: 0.3388, Training Accuracy: 97.79%, Validation Accuracy: 90.91%
Epoch [74/100], Training Loss: 0.3344, Training Accuracy: 97.73%, Validation Accuracy: 90.91%
Epoch [75/100], Training Loss: 0.3396, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [76/100], Training Loss: 0.3333, Training Accuracy: 98.04%, Validation Accuracy: 90.91%
Epoch [77/100], Training Loss: 0.3389, Training Accuracy: 97.85%, Validation Accuracy: 90.91%
Epoch [78/100], Training Loss: 0.3345, Training Accuracy: 97.85%, Validation Accuracy: 90.91%
Epoch [79/100], Training Loss: 0.3346, Training Accuracy: 98.11%, Validation Accuracy: 90.91%
Epoch [80/100], Training Loss: 0.3366, Training Accuracy: 97.73%, Validation Accuracy: 90.91%
Epoch [81/100], Training Loss: 0.3346, Training Accuracy: 97.98%, Validation Accuracy: 90.91%
Epoch [82/100], Training Loss: 0.3316, Training Accuracy: 98.36%, Validation Accuracy: 90.91%
Epoch [83/100], Training Loss: 0.3356, Training Accuracy: 98.17%, Validation Accuracy: 91.41%
Epoch [84/100], Training Loss: 0.3334, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [85/100], Training Loss: 0.3355, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [86/100], Training Loss: 0.3337, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [87/100], Training Loss: 0.3329, Training Accuracy: 98.30%, Validation Accuracy: 90.91%
Epoch [88/100], Training Loss: 0.3328, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [89/100], Training Loss: 0.3338, Training Accuracy: 98.23%, Validation Accuracy: 91.41%
Epoch [90/100], Training Loss: 0.3370, Training Accuracy: 97.85%, Validation Accuracy: 91.41%
Epoch [91/100], Training Loss: 0.3345, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [92/100], Training Loss: 0.3316, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [93/100], Training Loss: 0.3329, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [94/100], Training Loss: 0.3307, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [95/100], Training Loss: 0.3346, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [96/100], Training Loss: 0.3361, Training Accuracy: 97.92%, Validation Accuracy: 91.41%
Epoch [97/100], Training Loss: 0.3386, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [98/100], Training Loss: 0.3320, Training Accuracy: 97.92%, Validation Accuracy: 91.92%
Epoch [99/100], Training Loss: 0.3320, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Epoch [100/100], Training Loss: 0.3329, Training Accuracy: 97.73%, Validation Accuracy: 92.42%
Finished Training
Final Evaluation: Precision: 0.8840, Recall: 0.8838, F1 Score: 0.8839, Accuracy: 0.8838
Fold 3/10
Epoch [1/100], Training Loss: 0.6898, Training Accuracy: 54.55%, Validation Accuracy: 60.61%
Epoch [2/100], Training Loss: 0.6619, Training Accuracy: 66.67%, Validation Accuracy: 60.61%
Epoch [3/100], Training Loss: 0.6113, Training Accuracy: 75.88%, Validation Accuracy: 79.80%
Epoch [4/100], Training Loss: 0.5705, Training Accuracy: 78.41%, Validation Accuracy: 85.86%
