==========================================
SLURM_JOB_ID = 7602528
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python CNN_no_res.py /home/zhuosl/VPML/Genome_matrix/genome_matrix.csv
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
torch.Size([1980, 1, 64, 66])
torch.Size([1980])
Fold 1/5
Epoch [1/100], Training Loss: 0.6941, Training Accuracy: 48.99%, Test Accuracy: 50.51%
Epoch [2/100], Training Loss: 0.6772, Training Accuracy: 64.65%, Test Accuracy: 51.26%
Epoch [3/100], Training Loss: 0.6551, Training Accuracy: 62.12%, Test Accuracy: 55.30%
Epoch [4/100], Training Loss: 0.6358, Training Accuracy: 66.48%, Test Accuracy: 66.67%
Epoch [5/100], Training Loss: 0.6054, Training Accuracy: 75.51%, Test Accuracy: 71.46%
Epoch [6/100], Training Loss: 0.5789, Training Accuracy: 78.54%, Test Accuracy: 73.99%
Epoch [7/100], Training Loss: 0.5457, Training Accuracy: 80.81%, Test Accuracy: 76.26%
Epoch [8/100], Training Loss: 0.5213, Training Accuracy: 82.20%, Test Accuracy: 78.03%
Epoch [9/100], Training Loss: 0.4943, Training Accuracy: 84.72%, Test Accuracy: 81.06%
Epoch [10/100], Training Loss: 0.4725, Training Accuracy: 86.30%, Test Accuracy: 83.33%
Epoch [11/100], Training Loss: 0.4563, Training Accuracy: 88.13%, Test Accuracy: 85.86%
Epoch [12/100], Training Loss: 0.4404, Training Accuracy: 88.76%, Test Accuracy: 85.35%
Epoch [13/100], Training Loss: 0.4277, Training Accuracy: 90.09%, Test Accuracy: 85.61%
Epoch [14/100], Training Loss: 0.4206, Training Accuracy: 90.15%, Test Accuracy: 87.12%
Epoch [15/100], Training Loss: 0.4095, Training Accuracy: 92.11%, Test Accuracy: 86.36%
Epoch [16/100], Training Loss: 0.4081, Training Accuracy: 91.98%, Test Accuracy: 86.87%
Epoch [17/100], Training Loss: 0.3960, Training Accuracy: 93.06%, Test Accuracy: 87.37%
Epoch [18/100], Training Loss: 0.3904, Training Accuracy: 93.50%, Test Accuracy: 87.37%
Epoch [19/100], Training Loss: 0.3840, Training Accuracy: 93.75%, Test Accuracy: 87.37%
Epoch [20/100], Training Loss: 0.3811, Training Accuracy: 94.13%, Test Accuracy: 87.88%
Epoch [21/100], Training Loss: 0.3787, Training Accuracy: 94.38%, Test Accuracy: 87.63%
Epoch [22/100], Training Loss: 0.3719, Training Accuracy: 95.20%, Test Accuracy: 88.13%
Epoch [23/100], Training Loss: 0.3703, Training Accuracy: 95.64%, Test Accuracy: 88.13%
Epoch [24/100], Training Loss: 0.3669, Training Accuracy: 95.33%, Test Accuracy: 88.64%
Epoch [25/100], Training Loss: 0.3654, Training Accuracy: 95.71%, Test Accuracy: 88.64%
Epoch [26/100], Training Loss: 0.3628, Training Accuracy: 95.58%, Test Accuracy: 88.64%
Epoch [27/100], Training Loss: 0.3606, Training Accuracy: 96.09%, Test Accuracy: 88.38%
