==========================================
SLURM_JOB_ID = 7611744
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python CNN_no_res.py /home/zhuosl/VPML/Genome_matrix/genome_matrix.csv
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
torch.Size([1980, 1, 64, 66])
torch.Size([1980])
Fold 1/5
Epoch [1/100], Training Loss: 0.6901, Training Accuracy: 54.55%, Test Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6850, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6796, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [4/100], Training Loss: 0.6770, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [5/100], Training Loss: 0.6734, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [6/100], Training Loss: 0.6725, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [7/100], Training Loss: 0.6685, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [8/100], Training Loss: 0.6685, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [9/100], Training Loss: 0.6645, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [10/100], Training Loss: 0.6604, Training Accuracy: 58.08%, Test Accuracy: 49.49%
Epoch [11/100], Training Loss: 0.6584, Training Accuracy: 58.59%, Test Accuracy: 49.75%
Epoch [12/100], Training Loss: 0.6530, Training Accuracy: 59.97%, Test Accuracy: 57.83%
Epoch [13/100], Training Loss: 0.6500, Training Accuracy: 62.50%, Test Accuracy: 60.10%
Epoch [14/100], Training Loss: 0.6469, Training Accuracy: 64.27%, Test Accuracy: 62.88%
Epoch [15/100], Training Loss: 0.6385, Training Accuracy: 67.49%, Test Accuracy: 64.39%
Epoch [16/100], Training Loss: 0.6328, Training Accuracy: 68.81%, Test Accuracy: 65.91%
Epoch [17/100], Training Loss: 0.6236, Training Accuracy: 71.21%, Test Accuracy: 66.41%
Epoch [18/100], Training Loss: 0.6170, Training Accuracy: 72.60%, Test Accuracy: 67.93%
Epoch [19/100], Training Loss: 0.6037, Training Accuracy: 72.98%, Test Accuracy: 69.19%
Epoch [20/100], Training Loss: 0.5926, Training Accuracy: 75.44%, Test Accuracy: 67.93%
Epoch [21/100], Training Loss: 0.5728, Training Accuracy: 77.02%, Test Accuracy: 70.20%
Epoch [22/100], Training Loss: 0.5608, Training Accuracy: 77.90%, Test Accuracy: 68.94%
Epoch [23/100], Training Loss: 0.5458, Training Accuracy: 79.48%, Test Accuracy: 76.77%
Epoch [24/100], Training Loss: 0.5268, Training Accuracy: 81.44%, Test Accuracy: 77.53%
Epoch [25/100], Training Loss: 0.5138, Training Accuracy: 82.20%, Test Accuracy: 78.79%
Epoch [26/100], Training Loss: 0.4977, Training Accuracy: 83.90%, Test Accuracy: 78.79%
Epoch [27/100], Training Loss: 0.4873, Training Accuracy: 84.72%, Test Accuracy: 78.03%
