==========================================
SLURM_JOB_ID = 7617388
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python CNN_no_res.py /home/zhuosl/VPML/Genome_matrix/genome_matrix.csv
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
torch.Size([1980, 1, 64, 66])
torch.Size([1980])
Fold 1/5
Epoch [1/100], Training Loss: 0.6944, Training Accuracy: 50.82%, Test Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6848, Training Accuracy: 56.00%, Test Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6843, Training Accuracy: 55.87%, Test Accuracy: 49.49%
Epoch [4/100], Training Loss: 0.6784, Training Accuracy: 57.39%, Test Accuracy: 49.49%
Epoch [5/100], Training Loss: 0.6800, Training Accuracy: 57.58%, Test Accuracy: 49.49%
Epoch [6/100], Training Loss: 0.6785, Training Accuracy: 57.39%, Test Accuracy: 49.49%
Epoch [7/100], Training Loss: 0.6766, Training Accuracy: 57.89%, Test Accuracy: 49.49%
Epoch [8/100], Training Loss: 0.6740, Training Accuracy: 57.77%, Test Accuracy: 49.49%
Epoch [9/100], Training Loss: 0.6706, Training Accuracy: 57.39%, Test Accuracy: 49.49%
Epoch [10/100], Training Loss: 0.6706, Training Accuracy: 58.08%, Test Accuracy: 49.49%
Epoch [11/100], Training Loss: 0.6681, Training Accuracy: 58.02%, Test Accuracy: 49.49%
Epoch [12/100], Training Loss: 0.6683, Training Accuracy: 57.77%, Test Accuracy: 49.49%
Epoch [13/100], Training Loss: 0.6656, Training Accuracy: 58.71%, Test Accuracy: 49.49%
Epoch [14/100], Training Loss: 0.6645, Training Accuracy: 58.21%, Test Accuracy: 49.49%
Epoch [15/100], Training Loss: 0.6639, Training Accuracy: 57.77%, Test Accuracy: 49.49%
Epoch [16/100], Training Loss: 0.6631, Training Accuracy: 59.41%, Test Accuracy: 49.75%
Epoch [17/100], Training Loss: 0.6566, Training Accuracy: 60.04%, Test Accuracy: 53.28%
Epoch [18/100], Training Loss: 0.6560, Training Accuracy: 60.98%, Test Accuracy: 56.31%
Epoch [19/100], Training Loss: 0.6537, Training Accuracy: 61.55%, Test Accuracy: 60.10%
Epoch [20/100], Training Loss: 0.6480, Training Accuracy: 61.55%, Test Accuracy: 60.61%
Epoch [21/100], Training Loss: 0.6520, Training Accuracy: 64.14%, Test Accuracy: 62.37%
Epoch [22/100], Training Loss: 0.6449, Training Accuracy: 64.90%, Test Accuracy: 63.89%
Epoch [23/100], Training Loss: 0.6408, Training Accuracy: 67.05%, Test Accuracy: 64.65%
Epoch [24/100], Training Loss: 0.6333, Training Accuracy: 67.87%, Test Accuracy: 64.65%
Epoch [25/100], Training Loss: 0.6276, Training Accuracy: 68.06%, Test Accuracy: 66.16%
Epoch [26/100], Training Loss: 0.6167, Training Accuracy: 71.02%, Test Accuracy: 65.40%
Epoch [27/100], Training Loss: 0.6118, Training Accuracy: 71.21%, Test Accuracy: 67.42%
