==========================================
SLURM_JOB_ID = 7618017
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python CNN_no_res.py /home/zhuosl/VPML/Genome_matrix/genome_matrix.csv
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
torch.Size([1980, 1, 64, 66])
torch.Size([1980])
Fold 1/5
Epoch [1/100], Training Loss: 0.6924, Training Accuracy: 53.60%, Test Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6948, Training Accuracy: 52.34%, Test Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6904, Training Accuracy: 54.23%, Test Accuracy: 49.49%
Epoch [4/100], Training Loss: 0.6852, Training Accuracy: 54.73%, Test Accuracy: 49.49%
Epoch [5/100], Training Loss: 0.6878, Training Accuracy: 54.55%, Test Accuracy: 49.49%
Epoch [6/100], Training Loss: 0.6852, Training Accuracy: 56.31%, Test Accuracy: 49.49%
Epoch [7/100], Training Loss: 0.6846, Training Accuracy: 56.44%, Test Accuracy: 49.49%
Epoch [8/100], Training Loss: 0.6826, Training Accuracy: 55.56%, Test Accuracy: 49.49%
Epoch [9/100], Training Loss: 0.6850, Training Accuracy: 54.99%, Test Accuracy: 49.49%
Epoch [10/100], Training Loss: 0.6783, Training Accuracy: 57.39%, Test Accuracy: 49.49%
Epoch [11/100], Training Loss: 0.6825, Training Accuracy: 56.00%, Test Accuracy: 49.49%
Epoch [12/100], Training Loss: 0.6857, Training Accuracy: 56.94%, Test Accuracy: 49.49%
Epoch [13/100], Training Loss: 0.6814, Training Accuracy: 57.26%, Test Accuracy: 49.49%
Epoch [14/100], Training Loss: 0.6775, Training Accuracy: 57.58%, Test Accuracy: 49.49%
Epoch [15/100], Training Loss: 0.6766, Training Accuracy: 57.32%, Test Accuracy: 49.49%
Epoch [16/100], Training Loss: 0.6761, Training Accuracy: 57.39%, Test Accuracy: 49.49%
Epoch [17/100], Training Loss: 0.6759, Training Accuracy: 57.77%, Test Accuracy: 49.49%
Epoch [18/100], Training Loss: 0.6767, Training Accuracy: 56.50%, Test Accuracy: 49.49%
Epoch [19/100], Training Loss: 0.6748, Training Accuracy: 56.44%, Test Accuracy: 49.49%
Epoch [20/100], Training Loss: 0.6754, Training Accuracy: 56.82%, Test Accuracy: 49.49%
Epoch [21/100], Training Loss: 0.6741, Training Accuracy: 57.45%, Test Accuracy: 49.49%
Epoch [22/100], Training Loss: 0.6718, Training Accuracy: 57.45%, Test Accuracy: 49.49%
Epoch [23/100], Training Loss: 0.6702, Training Accuracy: 57.83%, Test Accuracy: 49.49%
Epoch [24/100], Training Loss: 0.6693, Training Accuracy: 56.94%, Test Accuracy: 49.49%
Epoch [25/100], Training Loss: 0.6693, Training Accuracy: 57.26%, Test Accuracy: 49.49%
Epoch [26/100], Training Loss: 0.6712, Training Accuracy: 58.21%, Test Accuracy: 49.49%
Epoch [27/100], Training Loss: 0.6644, Training Accuracy: 58.33%, Test Accuracy: 49.49%
