==========================================
SLURM_JOB_ID = 7602233
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python CNN_no_res.py /home/zhuosl/VPML/Genome_matrix/genome_matrix.csv
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
torch.Size([1980, 1, 64, 66])
torch.Size([1980])
Fold 1/5
Epoch [1/100], Training Loss: 0.6857, Training Accuracy: 57.77%, Test Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6656, Training Accuracy: 59.66%, Test Accuracy: 58.33%
Epoch [3/100], Training Loss: 0.6377, Training Accuracy: 67.36%, Test Accuracy: 69.70%
Epoch [4/100], Training Loss: 0.5982, Training Accuracy: 78.72%, Test Accuracy: 71.97%
Epoch [5/100], Training Loss: 0.5562, Training Accuracy: 80.05%, Test Accuracy: 76.26%
Epoch [6/100], Training Loss: 0.5194, Training Accuracy: 82.83%, Test Accuracy: 78.28%
Epoch [7/100], Training Loss: 0.4964, Training Accuracy: 83.78%, Test Accuracy: 81.06%
Epoch [8/100], Training Loss: 0.4765, Training Accuracy: 85.29%, Test Accuracy: 83.33%
Epoch [9/100], Training Loss: 0.4600, Training Accuracy: 86.87%, Test Accuracy: 83.84%
Epoch [10/100], Training Loss: 0.4445, Training Accuracy: 88.19%, Test Accuracy: 84.60%
Epoch [11/100], Training Loss: 0.4317, Training Accuracy: 89.39%, Test Accuracy: 86.87%
Epoch [12/100], Training Loss: 0.4240, Training Accuracy: 90.34%, Test Accuracy: 87.37%
Epoch [13/100], Training Loss: 0.4146, Training Accuracy: 91.04%, Test Accuracy: 87.12%
Epoch [14/100], Training Loss: 0.4083, Training Accuracy: 91.60%, Test Accuracy: 86.62%
Epoch [15/100], Training Loss: 0.4008, Training Accuracy: 92.49%, Test Accuracy: 86.87%
Epoch [16/100], Training Loss: 0.3911, Training Accuracy: 93.43%, Test Accuracy: 88.38%
Epoch [17/100], Training Loss: 0.3825, Training Accuracy: 94.19%, Test Accuracy: 88.38%
Epoch [18/100], Training Loss: 0.3797, Training Accuracy: 94.57%, Test Accuracy: 88.38%
Epoch [19/100], Training Loss: 0.3747, Training Accuracy: 95.08%, Test Accuracy: 87.88%
Epoch [20/100], Training Loss: 0.3731, Training Accuracy: 95.01%, Test Accuracy: 88.13%
Epoch [21/100], Training Loss: 0.3681, Training Accuracy: 95.83%, Test Accuracy: 88.13%
Epoch [22/100], Training Loss: 0.3667, Training Accuracy: 95.39%, Test Accuracy: 87.88%
Epoch [23/100], Training Loss: 0.3654, Training Accuracy: 95.45%, Test Accuracy: 87.37%
Epoch [24/100], Training Loss: 0.3610, Training Accuracy: 96.02%, Test Accuracy: 87.63%
Epoch [25/100], Training Loss: 0.3620, Training Accuracy: 95.64%, Test Accuracy: 88.13%
Epoch [26/100], Training Loss: 0.3570, Training Accuracy: 96.46%, Test Accuracy: 87.88%
Epoch [27/100], Training Loss: 0.3582, Training Accuracy: 96.28%, Test Accuracy: 87.63%
