==========================================
SLURM_JOB_ID = 7611659
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python CNN_no_res.py /home/zhuosl/VPML/Genome_matrix/genome_matrix.csv
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
CNN_no_res.py:26: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN_no_res.py:27: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
torch.Size([1980, 1, 64, 66])
torch.Size([1980])
Fold 1/5
Epoch [1/100], Training Loss: 0.6952, Training Accuracy: 48.36%, Test Accuracy: 48.48%
Epoch [2/100], Training Loss: 0.6887, Training Accuracy: 55.56%, Test Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6844, Training Accuracy: 57.89%, Test Accuracy: 49.49%
Epoch [4/100], Training Loss: 0.6797, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [5/100], Training Loss: 0.6776, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [6/100], Training Loss: 0.6739, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [7/100], Training Loss: 0.6714, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [8/100], Training Loss: 0.6707, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [9/100], Training Loss: 0.6683, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [10/100], Training Loss: 0.6691, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [11/100], Training Loss: 0.6647, Training Accuracy: 57.77%, Test Accuracy: 49.49%
Epoch [12/100], Training Loss: 0.6614, Training Accuracy: 57.83%, Test Accuracy: 49.49%
Epoch [13/100], Training Loss: 0.6601, Training Accuracy: 58.40%, Test Accuracy: 49.49%
Epoch [14/100], Training Loss: 0.6567, Training Accuracy: 58.78%, Test Accuracy: 54.04%
Epoch [15/100], Training Loss: 0.6520, Training Accuracy: 59.97%, Test Accuracy: 56.82%
Epoch [16/100], Training Loss: 0.6465, Training Accuracy: 62.63%, Test Accuracy: 60.61%
Epoch [17/100], Training Loss: 0.6430, Training Accuracy: 65.85%, Test Accuracy: 62.63%
Epoch [18/100], Training Loss: 0.6385, Training Accuracy: 67.99%, Test Accuracy: 63.89%
Epoch [19/100], Training Loss: 0.6294, Training Accuracy: 68.50%, Test Accuracy: 66.67%
Epoch [20/100], Training Loss: 0.6182, Training Accuracy: 72.35%, Test Accuracy: 67.17%
Epoch [21/100], Training Loss: 0.6090, Training Accuracy: 73.48%, Test Accuracy: 67.42%
Epoch [22/100], Training Loss: 0.5988, Training Accuracy: 73.80%, Test Accuracy: 67.68%
Epoch [23/100], Training Loss: 0.5833, Training Accuracy: 76.33%, Test Accuracy: 68.94%
Epoch [24/100], Training Loss: 0.5680, Training Accuracy: 77.40%, Test Accuracy: 70.45%
Epoch [25/100], Training Loss: 0.5501, Training Accuracy: 79.55%, Test Accuracy: 75.76%
Epoch [26/100], Training Loss: 0.5358, Training Accuracy: 80.18%, Test Accuracy: 74.24%
Epoch [27/100], Training Loss: 0.5213, Training Accuracy: 82.39%, Test Accuracy: 79.29%
