==========================================
SLURM_JOB_ID = 7458644
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python MLP.py /home/zhuosl/VPML/Genome_matrix/genome_matrix_full.csv
Fold 1/5
Epoch [1/100], Training Loss: 0.6886, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6849, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6811, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [4/100], Training Loss: 0.6770, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [5/100], Training Loss: 0.6724, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [6/100], Training Loss: 0.6665, Training Accuracy: 57.70%, Test Accuracy: 49.49%
Epoch [7/100], Training Loss: 0.6594, Training Accuracy: 58.27%, Test Accuracy: 49.49%
Epoch [8/100], Training Loss: 0.6510, Training Accuracy: 60.23%, Test Accuracy: 51.01%
Epoch [9/100], Training Loss: 0.6405, Training Accuracy: 63.45%, Test Accuracy: 67.42%
Epoch [10/100], Training Loss: 0.6269, Training Accuracy: 68.75%, Test Accuracy: 70.71%
Epoch [11/100], Training Loss: 0.6121, Training Accuracy: 74.56%, Test Accuracy: 70.20%
Epoch [12/100], Training Loss: 0.5908, Training Accuracy: 77.90%, Test Accuracy: 75.25%
Epoch [13/100], Training Loss: 0.5741, Training Accuracy: 79.73%, Test Accuracy: 73.23%
Epoch [14/100], Training Loss: 0.5536, Training Accuracy: 80.37%, Test Accuracy: 75.76%
Epoch [15/100], Training Loss: 0.5333, Training Accuracy: 82.26%, Test Accuracy: 78.79%
Epoch [16/100], Training Loss: 0.5156, Training Accuracy: 83.65%, Test Accuracy: 81.31%
Epoch [17/100], Training Loss: 0.5031, Training Accuracy: 84.09%, Test Accuracy: 81.82%
Epoch [18/100], Training Loss: 0.4928, Training Accuracy: 84.28%, Test Accuracy: 82.07%
Epoch [19/100], Training Loss: 0.4846, Training Accuracy: 84.66%, Test Accuracy: 83.08%
Epoch [20/100], Training Loss: 0.4773, Training Accuracy: 85.23%, Test Accuracy: 83.84%
Epoch [21/100], Training Loss: 0.4717, Training Accuracy: 85.73%, Test Accuracy: 84.34%
Epoch [22/100], Training Loss: 0.4605, Training Accuracy: 86.62%, Test Accuracy: 83.84%
Epoch [23/100], Training Loss: 0.4538, Training Accuracy: 87.56%, Test Accuracy: 85.10%
Epoch [24/100], Training Loss: 0.4525, Training Accuracy: 87.44%, Test Accuracy: 86.11%
Epoch [25/100], Training Loss: 0.4451, Training Accuracy: 88.13%, Test Accuracy: 85.61%
Epoch [26/100], Training Loss: 0.4417, Training Accuracy: 87.94%, Test Accuracy: 86.36%
Epoch [27/100], Training Loss: 0.4383, Training Accuracy: 88.38%, Test Accuracy: 86.87%
Epoch [28/100], Training Loss: 0.4355, Training Accuracy: 88.95%, Test Accuracy: 87.12%
Epoch [29/100], Training Loss: 0.4284, Training Accuracy: 89.52%, Test Accuracy: 87.63%
Epoch [30/100], Training Loss: 0.4333, Training Accuracy: 88.45%, Test Accuracy: 87.63%
Epoch [31/100], Training Loss: 0.4230, Training Accuracy: 90.34%, Test Accuracy: 87.88%
Epoch [32/100], Training Loss: 0.4204, Training Accuracy: 89.90%, Test Accuracy: 87.88%
Epoch [33/100], Training Loss: 0.4243, Training Accuracy: 89.84%, Test Accuracy: 87.63%
Epoch [34/100], Training Loss: 0.4218, Training Accuracy: 89.77%, Test Accuracy: 88.13%
Epoch [35/100], Training Loss: 0.4155, Training Accuracy: 90.66%, Test Accuracy: 87.88%
Epoch [36/100], Training Loss: 0.4115, Training Accuracy: 91.29%, Test Accuracy: 88.13%
Epoch [37/100], Training Loss: 0.4120, Training Accuracy: 90.28%, Test Accuracy: 88.38%
Epoch [38/100], Training Loss: 0.4118, Training Accuracy: 90.40%, Test Accuracy: 88.13%
Epoch [39/100], Training Loss: 0.4056, Training Accuracy: 91.22%, Test Accuracy: 88.13%
Epoch [40/100], Training Loss: 0.4059, Training Accuracy: 91.54%, Test Accuracy: 88.38%
Epoch [41/100], Training Loss: 0.4051, Training Accuracy: 91.48%, Test Accuracy: 88.13%
Epoch [42/100], Training Loss: 0.4057, Training Accuracy: 91.35%, Test Accuracy: 88.89%
Epoch [43/100], Training Loss: 0.4004, Training Accuracy: 91.98%, Test Accuracy: 88.13%
Epoch [44/100], Training Loss: 0.4015, Training Accuracy: 91.60%, Test Accuracy: 88.64%
Epoch [45/100], Training Loss: 0.3986, Training Accuracy: 92.30%, Test Accuracy: 88.38%
Epoch [46/100], Training Loss: 0.3953, Training Accuracy: 92.61%, Test Accuracy: 88.64%
Epoch [47/100], Training Loss: 0.3940, Training Accuracy: 92.36%, Test Accuracy: 88.38%
Epoch [48/100], Training Loss: 0.3953, Training Accuracy: 92.30%, Test Accuracy: 88.64%
Epoch [49/100], Training Loss: 0.3897, Training Accuracy: 92.61%, Test Accuracy: 88.89%
Epoch [50/100], Training Loss: 0.3893, Training Accuracy: 92.61%, Test Accuracy: 89.14%
Epoch [51/100], Training Loss: 0.3869, Training Accuracy: 93.37%, Test Accuracy: 89.14%
Epoch [52/100], Training Loss: 0.3917, Training Accuracy: 92.68%, Test Accuracy: 88.64%
Epoch [53/100], Training Loss: 0.3890, Training Accuracy: 92.99%, Test Accuracy: 88.38%
Epoch [54/100], Training Loss: 0.3864, Training Accuracy: 92.80%, Test Accuracy: 88.89%
Epoch [55/100], Training Loss: 0.3811, Training Accuracy: 93.88%, Test Accuracy: 88.89%
Epoch [56/100], Training Loss: 0.3825, Training Accuracy: 93.88%, Test Accuracy: 89.14%
Epoch [57/100], Training Loss: 0.3810, Training Accuracy: 93.62%, Test Accuracy: 89.14%
Epoch [58/100], Training Loss: 0.3765, Training Accuracy: 94.44%, Test Accuracy: 89.39%
Epoch [59/100], Training Loss: 0.3816, Training Accuracy: 94.19%, Test Accuracy: 88.13%
Epoch [60/100], Training Loss: 0.3809, Training Accuracy: 93.62%, Test Accuracy: 88.38%
Epoch [61/100], Training Loss: 0.3802, Training Accuracy: 94.07%, Test Accuracy: 88.89%
Epoch [62/100], Training Loss: 0.3753, Training Accuracy: 94.57%, Test Accuracy: 89.39%
Epoch [63/100], Training Loss: 0.3749, Training Accuracy: 94.44%, Test Accuracy: 87.88%
Epoch [64/100], Training Loss: 0.3729, Training Accuracy: 94.63%, Test Accuracy: 87.63%
