==========================================
SLURM_JOB_ID = 7466419
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python MLP.py /home/zhuosl/VPML/Genome_matrix/genome_matrix_full.csv
Fold 1/5
Epoch [1/100], Training Loss: 0.6900, Training Accuracy: 57.58%, Test Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6861, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6824, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [4/100], Training Loss: 0.6770, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [5/100], Training Loss: 0.6728, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [6/100], Training Loss: 0.6675, Training Accuracy: 57.64%, Test Accuracy: 49.49%
Epoch [7/100], Training Loss: 0.6618, Training Accuracy: 57.95%, Test Accuracy: 49.49%
Epoch [8/100], Training Loss: 0.6524, Training Accuracy: 58.84%, Test Accuracy: 53.28%
Epoch [9/100], Training Loss: 0.6426, Training Accuracy: 61.81%, Test Accuracy: 61.87%
Epoch [10/100], Training Loss: 0.6306, Training Accuracy: 67.55%, Test Accuracy: 69.70%
Epoch [11/100], Training Loss: 0.6130, Training Accuracy: 72.41%, Test Accuracy: 72.98%
Epoch [12/100], Training Loss: 0.5969, Training Accuracy: 77.15%, Test Accuracy: 72.98%
Epoch [13/100], Training Loss: 0.5816, Training Accuracy: 79.67%, Test Accuracy: 73.48%
Epoch [14/100], Training Loss: 0.5600, Training Accuracy: 80.49%, Test Accuracy: 76.26%
Epoch [15/100], Training Loss: 0.5430, Training Accuracy: 82.51%, Test Accuracy: 76.52%
Epoch [16/100], Training Loss: 0.5258, Training Accuracy: 81.94%, Test Accuracy: 77.02%
Epoch [17/100], Training Loss: 0.5152, Training Accuracy: 82.58%, Test Accuracy: 81.06%
Epoch [18/100], Training Loss: 0.5000, Training Accuracy: 84.41%, Test Accuracy: 82.32%
Epoch [19/100], Training Loss: 0.4866, Training Accuracy: 84.97%, Test Accuracy: 81.57%
Epoch [20/100], Training Loss: 0.4786, Training Accuracy: 86.43%, Test Accuracy: 82.58%
Epoch [21/100], Training Loss: 0.4719, Training Accuracy: 86.24%, Test Accuracy: 83.84%
Epoch [22/100], Training Loss: 0.4645, Training Accuracy: 86.36%, Test Accuracy: 84.60%
Epoch [23/100], Training Loss: 0.4599, Training Accuracy: 86.68%, Test Accuracy: 85.35%
Epoch [24/100], Training Loss: 0.4549, Training Accuracy: 87.50%, Test Accuracy: 85.10%
Epoch [25/100], Training Loss: 0.4467, Training Accuracy: 88.07%, Test Accuracy: 86.11%
Epoch [26/100], Training Loss: 0.4430, Training Accuracy: 88.38%, Test Accuracy: 86.87%
Epoch [27/100], Training Loss: 0.4397, Training Accuracy: 88.07%, Test Accuracy: 86.87%
Epoch [28/100], Training Loss: 0.4354, Training Accuracy: 88.83%, Test Accuracy: 87.12%
Epoch [29/100], Training Loss: 0.4326, Training Accuracy: 88.51%, Test Accuracy: 87.12%
Epoch [30/100], Training Loss: 0.4314, Training Accuracy: 88.64%, Test Accuracy: 87.63%
Epoch [31/100], Training Loss: 0.4256, Training Accuracy: 89.39%, Test Accuracy: 87.63%
Epoch [32/100], Training Loss: 0.4277, Training Accuracy: 89.27%, Test Accuracy: 86.87%
Epoch [33/100], Training Loss: 0.4261, Training Accuracy: 89.39%, Test Accuracy: 87.63%
Epoch [34/100], Training Loss: 0.4229, Training Accuracy: 89.84%, Test Accuracy: 88.13%
Epoch [35/100], Training Loss: 0.4132, Training Accuracy: 90.53%, Test Accuracy: 88.38%
Epoch [36/100], Training Loss: 0.4153, Training Accuracy: 90.03%, Test Accuracy: 87.88%
Epoch [37/100], Training Loss: 0.4125, Training Accuracy: 90.97%, Test Accuracy: 88.38%
Epoch [38/100], Training Loss: 0.4090, Training Accuracy: 91.41%, Test Accuracy: 88.38%
Epoch [39/100], Training Loss: 0.4112, Training Accuracy: 91.10%, Test Accuracy: 88.13%
Epoch [40/100], Training Loss: 0.4060, Training Accuracy: 91.48%, Test Accuracy: 88.38%
Epoch [41/100], Training Loss: 0.4079, Training Accuracy: 90.59%, Test Accuracy: 88.13%
Epoch [42/100], Training Loss: 0.4059, Training Accuracy: 91.16%, Test Accuracy: 87.63%
Epoch [43/100], Training Loss: 0.4030, Training Accuracy: 91.79%, Test Accuracy: 87.88%
Epoch [44/100], Training Loss: 0.4004, Training Accuracy: 92.11%, Test Accuracy: 88.13%
Epoch [45/100], Training Loss: 0.3983, Training Accuracy: 91.86%, Test Accuracy: 88.38%
Epoch [46/100], Training Loss: 0.3967, Training Accuracy: 92.17%, Test Accuracy: 88.38%
Epoch [47/100], Training Loss: 0.3964, Training Accuracy: 92.36%, Test Accuracy: 87.88%
Epoch [48/100], Training Loss: 0.3979, Training Accuracy: 91.98%, Test Accuracy: 88.13%
Epoch [49/100], Training Loss: 0.3946, Training Accuracy: 92.49%, Test Accuracy: 88.89%
Epoch [50/100], Training Loss: 0.3888, Training Accuracy: 92.87%, Test Accuracy: 87.63%
Epoch [51/100], Training Loss: 0.3913, Training Accuracy: 92.42%, Test Accuracy: 88.38%
Epoch [52/100], Training Loss: 0.3878, Training Accuracy: 93.12%, Test Accuracy: 88.64%
Epoch [53/100], Training Loss: 0.3871, Training Accuracy: 93.24%, Test Accuracy: 87.88%
Epoch [54/100], Training Loss: 0.3863, Training Accuracy: 93.18%, Test Accuracy: 88.64%
Epoch [55/100], Training Loss: 0.3863, Training Accuracy: 93.12%, Test Accuracy: 88.89%
Epoch [56/100], Training Loss: 0.3827, Training Accuracy: 93.69%, Test Accuracy: 89.65%
Epoch [57/100], Training Loss: 0.3825, Training Accuracy: 93.56%, Test Accuracy: 89.39%
Epoch [58/100], Training Loss: 0.3791, Training Accuracy: 93.81%, Test Accuracy: 88.13%
Epoch [59/100], Training Loss: 0.3818, Training Accuracy: 93.56%, Test Accuracy: 89.39%
Epoch [60/100], Training Loss: 0.3784, Training Accuracy: 93.81%, Test Accuracy: 89.90%
Epoch [61/100], Training Loss: 0.3771, Training Accuracy: 94.19%, Test Accuracy: 89.65%
Epoch [62/100], Training Loss: 0.3757, Training Accuracy: 94.26%, Test Accuracy: 89.39%
Epoch [63/100], Training Loss: 0.3776, Training Accuracy: 94.26%, Test Accuracy: 89.14%
Epoch [64/100], Training Loss: 0.3784, Training Accuracy: 93.94%, Test Accuracy: 87.88%
Epoch [65/100], Training Loss: 0.3739, Training Accuracy: 94.63%, Test Accuracy: 88.64%
Epoch [66/100], Training Loss: 0.3743, Training Accuracy: 94.38%, Test Accuracy: 89.65%
Epoch [67/100], Training Loss: 0.3761, Training Accuracy: 94.00%, Test Accuracy: 89.14%
Epoch [68/100], Training Loss: 0.3703, Training Accuracy: 94.95%, Test Accuracy: 89.65%
Epoch [69/100], Training Loss: 0.3694, Training Accuracy: 94.95%, Test Accuracy: 89.65%
Epoch [70/100], Training Loss: 0.3705, Training Accuracy: 94.70%, Test Accuracy: 88.64%
Epoch [71/100], Training Loss: 0.3700, Training Accuracy: 94.89%, Test Accuracy: 88.89%
Epoch [72/100], Training Loss: 0.3694, Training Accuracy: 95.08%, Test Accuracy: 89.39%
Epoch [73/100], Training Loss: 0.3654, Training Accuracy: 95.39%, Test Accuracy: 88.13%
Epoch [74/100], Training Loss: 0.3695, Training Accuracy: 94.95%, Test Accuracy: 89.39%
Epoch [75/100], Training Loss: 0.3660, Training Accuracy: 94.95%, Test Accuracy: 89.39%
Epoch [76/100], Training Loss: 0.3660, Training Accuracy: 95.20%, Test Accuracy: 88.38%
Epoch [77/100], Training Loss: 0.3644, Training Accuracy: 95.45%, Test Accuracy: 88.64%
Epoch [78/100], Training Loss: 0.3643, Training Accuracy: 95.39%, Test Accuracy: 88.89%
Epoch [79/100], Training Loss: 0.3667, Training Accuracy: 95.08%, Test Accuracy: 89.14%
Epoch [80/100], Training Loss: 0.3651, Training Accuracy: 95.39%, Test Accuracy: 88.89%
Epoch [81/100], Training Loss: 0.3637, Training Accuracy: 95.58%, Test Accuracy: 87.63%
Epoch [82/100], Training Loss: 0.3681, Training Accuracy: 94.82%, Test Accuracy: 87.63%
Epoch [83/100], Training Loss: 0.3638, Training Accuracy: 95.14%, Test Accuracy: 88.89%
Epoch [84/100], Training Loss: 0.3619, Training Accuracy: 95.71%, Test Accuracy: 88.64%
Epoch [85/100], Training Loss: 0.3620, Training Accuracy: 95.90%, Test Accuracy: 89.14%
Epoch [86/100], Training Loss: 0.3622, Training Accuracy: 95.14%, Test Accuracy: 88.13%
Epoch [87/100], Training Loss: 0.3621, Training Accuracy: 95.52%, Test Accuracy: 89.65%
Epoch [88/100], Training Loss: 0.3623, Training Accuracy: 95.77%, Test Accuracy: 88.89%
Epoch [89/100], Training Loss: 0.3602, Training Accuracy: 95.71%, Test Accuracy: 88.89%
Epoch [90/100], Training Loss: 0.3603, Training Accuracy: 95.77%, Test Accuracy: 88.89%
Epoch [91/100], Training Loss: 0.3624, Training Accuracy: 95.27%, Test Accuracy: 88.89%
Epoch [92/100], Training Loss: 0.3582, Training Accuracy: 95.90%, Test Accuracy: 88.89%
Epoch [93/100], Training Loss: 0.3565, Training Accuracy: 95.90%, Test Accuracy: 88.64%
Epoch [94/100], Training Loss: 0.3584, Training Accuracy: 95.90%, Test Accuracy: 88.89%
Epoch [95/100], Training Loss: 0.3594, Training Accuracy: 95.64%, Test Accuracy: 88.89%
Epoch [96/100], Training Loss: 0.3575, Training Accuracy: 95.96%, Test Accuracy: 88.89%
Epoch [97/100], Training Loss: 0.3576, Training Accuracy: 95.96%, Test Accuracy: 88.38%
Epoch [98/100], Training Loss: 0.3580, Training Accuracy: 95.83%, Test Accuracy: 89.39%
Epoch [99/100], Training Loss: 0.3575, Training Accuracy: 95.96%, Test Accuracy: 88.89%
Epoch [100/100], Training Loss: 0.3571, Training Accuracy: 96.15%, Test Accuracy: 88.64%
Finished Training
Final Evaluation: Precision: 0.8872, Recall: 0.8864, F1 Score: 0.8863, Accuracy: 0.8864
Fold 2/5
Epoch [1/100], Training Loss: 0.6912, Training Accuracy: 55.56%, Test Accuracy: 54.80%
Epoch [2/100], Training Loss: 0.6879, Training Accuracy: 56.31%, Test Accuracy: 54.80%
Epoch [3/100], Training Loss: 0.6838, Training Accuracy: 56.31%, Test Accuracy: 54.80%
Epoch [4/100], Training Loss: 0.6800, Training Accuracy: 56.31%, Test Accuracy: 54.80%
Epoch [5/100], Training Loss: 0.6758, Training Accuracy: 56.31%, Test Accuracy: 54.80%
Epoch [6/100], Training Loss: 0.6716, Training Accuracy: 56.50%, Test Accuracy: 54.80%
Epoch [7/100], Training Loss: 0.6644, Training Accuracy: 56.38%, Test Accuracy: 54.80%
Epoch [8/100], Training Loss: 0.6545, Training Accuracy: 58.08%, Test Accuracy: 54.80%
Epoch [9/100], Training Loss: 0.6461, Training Accuracy: 59.53%, Test Accuracy: 72.22%
Epoch [10/100], Training Loss: 0.6340, Training Accuracy: 64.90%, Test Accuracy: 72.47%
Epoch [11/100], Training Loss: 0.6218, Training Accuracy: 73.80%, Test Accuracy: 72.22%
Epoch [12/100], Training Loss: 0.6077, Training Accuracy: 74.81%, Test Accuracy: 76.77%
Epoch [13/100], Training Loss: 0.5904, Training Accuracy: 77.46%, Test Accuracy: 76.52%
