
Fold 1/5
CNN.py:30: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN.py:31: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
Epoch [1/100], Training Loss: 0.7002, Training Accuracy: 45.47%, Validation Accuracy: 59.10%
Epoch [2/100], Training Loss: 0.6873, Training Accuracy: 57.61%, Validation Accuracy: 55.18%
Epoch [3/100], Training Loss: 0.6783, Training Accuracy: 59.37%, Validation Accuracy: 55.18%
Epoch [4/100], Training Loss: 0.6692, Training Accuracy: 61.12%, Validation Accuracy: 55.18%
Epoch [5/100], Training Loss: 0.6571, Training Accuracy: 62.74%, Validation Accuracy: 68.07%
Epoch [6/100], Training Loss: 0.6444, Training Accuracy: 68.07%, Validation Accuracy: 73.95%
Epoch [7/100], Training Loss: 0.6277, Training Accuracy: 72.21%, Validation Accuracy: 74.79%
Epoch [8/100], Training Loss: 0.6003, Training Accuracy: 75.09%, Validation Accuracy: 76.75%
Epoch [9/100], Training Loss: 0.5720, Training Accuracy: 79.86%, Validation Accuracy: 77.87%
Epoch [10/100], Training Loss: 0.5472, Training Accuracy: 80.49%, Validation Accuracy: 80.95%
Epoch [11/100], Training Loss: 0.5172, Training Accuracy: 81.54%, Validation Accuracy: 85.15%
Epoch [12/100], Training Loss: 0.4997, Training Accuracy: 84.56%, Validation Accuracy: 85.43%
Epoch [13/100], Training Loss: 0.4783, Training Accuracy: 85.82%, Validation Accuracy: 85.99%
Epoch [14/100], Training Loss: 0.4563, Training Accuracy: 87.23%, Validation Accuracy: 86.55%
Epoch [15/100], Training Loss: 0.4490, Training Accuracy: 89.19%, Validation Accuracy: 87.39%
Epoch [16/100], Training Loss: 0.4296, Training Accuracy: 90.53%, Validation Accuracy: 89.92%
Epoch [17/100], Training Loss: 0.4165, Training Accuracy: 91.16%, Validation Accuracy: 88.80%
Epoch [18/100], Training Loss: 0.4061, Training Accuracy: 91.86%, Validation Accuracy: 89.08%
Epoch [19/100], Training Loss: 0.3931, Training Accuracy: 93.26%, Validation Accuracy: 89.92%
Epoch [20/100], Training Loss: 0.3873, Training Accuracy: 94.18%, Validation Accuracy: 90.20%
Epoch [21/100], Training Loss: 0.3792, Training Accuracy: 94.32%, Validation Accuracy: 90.20%
Epoch [22/100], Training Loss: 0.3739, Training Accuracy: 95.44%, Validation Accuracy: 90.48%
Epoch [23/100], Training Loss: 0.3720, Training Accuracy: 95.37%, Validation Accuracy: 90.20%
