
Fold 1/5
CNN.py:30: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN.py:31: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
Epoch [1/100], Training Loss: 0.6637, Training Accuracy: 58.53%, Validation Accuracy: 75.07%
Epoch [2/100], Training Loss: 0.5643, Training Accuracy: 77.75%, Validation Accuracy: 82.35%
Epoch [3/100], Training Loss: 0.4935, Training Accuracy: 83.65%, Validation Accuracy: 85.99%
Epoch [4/100], Training Loss: 0.4588, Training Accuracy: 87.23%, Validation Accuracy: 86.83%
Epoch [5/100], Training Loss: 0.4439, Training Accuracy: 87.79%, Validation Accuracy: 87.39%
Epoch [6/100], Training Loss: 0.4225, Training Accuracy: 89.61%, Validation Accuracy: 87.96%
Epoch [7/100], Training Loss: 0.4115, Training Accuracy: 90.39%, Validation Accuracy: 88.80%
Epoch [8/100], Training Loss: 0.4040, Training Accuracy: 91.23%, Validation Accuracy: 88.80%
Epoch [9/100], Training Loss: 0.3959, Training Accuracy: 92.00%, Validation Accuracy: 89.08%
Epoch [10/100], Training Loss: 0.3895, Training Accuracy: 93.26%, Validation Accuracy: 88.80%
Epoch [11/100], Training Loss: 0.3866, Training Accuracy: 93.33%, Validation Accuracy: 90.20%
Epoch [12/100], Training Loss: 0.3762, Training Accuracy: 94.04%, Validation Accuracy: 91.04%
Epoch [13/100], Training Loss: 0.3747, Training Accuracy: 94.81%, Validation Accuracy: 90.48%
Epoch [14/100], Training Loss: 0.3616, Training Accuracy: 95.65%, Validation Accuracy: 91.32%
Epoch [15/100], Training Loss: 0.3595, Training Accuracy: 96.49%, Validation Accuracy: 91.04%
Epoch [16/100], Training Loss: 0.3546, Training Accuracy: 96.49%, Validation Accuracy: 91.04%
Epoch [17/100], Training Loss: 0.3499, Training Accuracy: 96.70%, Validation Accuracy: 89.92%
Epoch [18/100], Training Loss: 0.3492, Training Accuracy: 96.56%, Validation Accuracy: 91.60%
Epoch [19/100], Training Loss: 0.3473, Training Accuracy: 97.12%, Validation Accuracy: 91.32%
Epoch [20/100], Training Loss: 0.3455, Training Accuracy: 96.98%, Validation Accuracy: 92.16%
Epoch [21/100], Training Loss: 0.3451, Training Accuracy: 97.12%, Validation Accuracy: 91.60%
Epoch [22/100], Training Loss: 0.3457, Training Accuracy: 96.98%, Validation Accuracy: 91.88%
Epoch [23/100], Training Loss: 0.3453, Training Accuracy: 97.05%, Validation Accuracy: 91.88%
Epoch [24/100], Training Loss: 0.3425, Training Accuracy: 97.47%, Validation Accuracy: 91.60%
Epoch [25/100], Training Loss: 0.3425, Training Accuracy: 97.33%, Validation Accuracy: 91.88%
Epoch [26/100], Training Loss: 0.3390, Training Accuracy: 97.40%, Validation Accuracy: 91.60%
Epoch [27/100], Training Loss: 0.3393, Training Accuracy: 97.61%, Validation Accuracy: 92.16%
Epoch [28/100], Training Loss: 0.3370, Training Accuracy: 97.75%, Validation Accuracy: 91.88%
Epoch [29/100], Training Loss: 0.3367, Training Accuracy: 97.89%, Validation Accuracy: 92.72%
Epoch [30/100], Training Loss: 0.3341, Training Accuracy: 98.18%, Validation Accuracy: 91.32%
Epoch [31/100], Training Loss: 0.3324, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [32/100], Training Loss: 0.3315, Training Accuracy: 98.39%, Validation Accuracy: 91.88%
