
Fold 1/5
Epoch [1/100], Training Loss: 0.6514, Training Accuracy: 62.53%, Validation Accuracy: 67.51%
Epoch [2/100], Training Loss: 0.5479, Training Accuracy: 77.82%, Validation Accuracy: 83.19%
Epoch [3/100], Training Loss: 0.4889, Training Accuracy: 82.81%, Validation Accuracy: 84.59%
Epoch [4/100], Training Loss: 0.4531, Training Accuracy: 86.25%, Validation Accuracy: 86.83%
Epoch [5/100], Training Loss: 0.4354, Training Accuracy: 87.93%, Validation Accuracy: 85.71%
Epoch [6/100], Training Loss: 0.4214, Training Accuracy: 89.54%, Validation Accuracy: 87.39%
Epoch [7/100], Training Loss: 0.4138, Training Accuracy: 90.88%, Validation Accuracy: 87.96%
Epoch [8/100], Training Loss: 0.4027, Training Accuracy: 91.23%, Validation Accuracy: 88.80%
Epoch [9/100], Training Loss: 0.3959, Training Accuracy: 92.42%, Validation Accuracy: 89.08%
Epoch [10/100], Training Loss: 0.3949, Training Accuracy: 92.28%, Validation Accuracy: 87.11%
Epoch [11/100], Training Loss: 0.3848, Training Accuracy: 93.05%, Validation Accuracy: 89.92%
Epoch [12/100], Training Loss: 0.3762, Training Accuracy: 94.18%, Validation Accuracy: 89.92%
Epoch [13/100], Training Loss: 0.3731, Training Accuracy: 94.04%, Validation Accuracy: 89.36%
Epoch [14/100], Training Loss: 0.3660, Training Accuracy: 95.30%, Validation Accuracy: 89.92%
Epoch [15/100], Training Loss: 0.3627, Training Accuracy: 95.51%, Validation Accuracy: 89.64%
Epoch [16/100], Training Loss: 0.3573, Training Accuracy: 96.07%, Validation Accuracy: 90.48%
Epoch [17/100], Training Loss: 0.3563, Training Accuracy: 96.21%, Validation Accuracy: 91.04%
Epoch [18/100], Training Loss: 0.3533, Training Accuracy: 96.14%, Validation Accuracy: 90.48%
Epoch [19/100], Training Loss: 0.3509, Training Accuracy: 96.63%, Validation Accuracy: 90.76%
Epoch [20/100], Training Loss: 0.3502, Training Accuracy: 96.70%, Validation Accuracy: 89.36%
Epoch [21/100], Training Loss: 0.3508, Training Accuracy: 96.70%, Validation Accuracy: 89.64%
Epoch [22/100], Training Loss: 0.3458, Training Accuracy: 97.26%, Validation Accuracy: 91.88%
Epoch [23/100], Training Loss: 0.3452, Training Accuracy: 97.19%, Validation Accuracy: 91.88%
Epoch [24/100], Training Loss: 0.3429, Training Accuracy: 97.40%, Validation Accuracy: 91.32%
Epoch [25/100], Training Loss: 0.3382, Training Accuracy: 97.75%, Validation Accuracy: 91.88%
Epoch [26/100], Training Loss: 0.3394, Training Accuracy: 97.89%, Validation Accuracy: 91.88%
Epoch [27/100], Training Loss: 0.3358, Training Accuracy: 97.89%, Validation Accuracy: 91.88%
Epoch [28/100], Training Loss: 0.3346, Training Accuracy: 98.25%, Validation Accuracy: 91.88%
Epoch [29/100], Training Loss: 0.3328, Training Accuracy: 98.25%, Validation Accuracy: 91.88%
Epoch [30/100], Training Loss: 0.3309, Training Accuracy: 98.39%, Validation Accuracy: 91.60%
Epoch [31/100], Training Loss: 0.3295, Training Accuracy: 98.67%, Validation Accuracy: 92.16%
Epoch [32/100], Training Loss: 0.3304, Training Accuracy: 98.74%, Validation Accuracy: 92.16%
Epoch [33/100], Training Loss: 0.3301, Training Accuracy: 98.81%, Validation Accuracy: 91.32%
Epoch [34/100], Training Loss: 0.3301, Training Accuracy: 98.67%, Validation Accuracy: 91.60%
Epoch [35/100], Training Loss: 0.3284, Training Accuracy: 98.67%, Validation Accuracy: 91.88%
Epoch [36/100], Training Loss: 0.3269, Training Accuracy: 98.74%, Validation Accuracy: 91.88%
Epoch [37/100], Training Loss: 0.3276, Training Accuracy: 98.74%, Validation Accuracy: 92.16%
Epoch [38/100], Training Loss: 0.3295, Training Accuracy: 98.67%, Validation Accuracy: 92.16%
Epoch [39/100], Training Loss: 0.3291, Training Accuracy: 98.67%, Validation Accuracy: 92.44%
