
Fold 1/10
Epoch [1/100], Training Loss: 0.6481, Training Accuracy: 62.31%, Validation Accuracy: 54.55%
Epoch [2/100], Training Loss: 0.5510, Training Accuracy: 78.35%, Validation Accuracy: 76.26%
Epoch [3/100], Training Loss: 0.4822, Training Accuracy: 84.53%, Validation Accuracy: 82.83%
Epoch [4/100], Training Loss: 0.4532, Training Accuracy: 86.49%, Validation Accuracy: 83.33%
Epoch [5/100], Training Loss: 0.4399, Training Accuracy: 87.75%, Validation Accuracy: 82.32%
Epoch [6/100], Training Loss: 0.4213, Training Accuracy: 89.77%, Validation Accuracy: 82.32%
Epoch [7/100], Training Loss: 0.4143, Training Accuracy: 89.96%, Validation Accuracy: 84.85%
Epoch [8/100], Training Loss: 0.3993, Training Accuracy: 91.73%, Validation Accuracy: 84.85%
Epoch [9/100], Training Loss: 0.3964, Training Accuracy: 92.17%, Validation Accuracy: 84.85%
Epoch [10/100], Training Loss: 0.3915, Training Accuracy: 92.55%, Validation Accuracy: 86.87%
Epoch [11/100], Training Loss: 0.3815, Training Accuracy: 93.69%, Validation Accuracy: 86.36%
Epoch [12/100], Training Loss: 0.3735, Training Accuracy: 94.38%, Validation Accuracy: 87.88%
Epoch [13/100], Training Loss: 0.3739, Training Accuracy: 94.44%, Validation Accuracy: 88.89%
Epoch [14/100], Training Loss: 0.3667, Training Accuracy: 94.95%, Validation Accuracy: 86.87%
Epoch [15/100], Training Loss: 0.3597, Training Accuracy: 96.21%, Validation Accuracy: 89.90%
Epoch [16/100], Training Loss: 0.3561, Training Accuracy: 95.90%, Validation Accuracy: 88.89%
Epoch [17/100], Training Loss: 0.3535, Training Accuracy: 96.46%, Validation Accuracy: 87.88%
Epoch [18/100], Training Loss: 0.3507, Training Accuracy: 96.72%, Validation Accuracy: 89.39%
Epoch [19/100], Training Loss: 0.3482, Training Accuracy: 96.84%, Validation Accuracy: 88.89%
Epoch [20/100], Training Loss: 0.3470, Training Accuracy: 97.10%, Validation Accuracy: 89.39%
Epoch [21/100], Training Loss: 0.3470, Training Accuracy: 96.84%, Validation Accuracy: 87.88%
Epoch [22/100], Training Loss: 0.3457, Training Accuracy: 96.78%, Validation Accuracy: 88.89%
Epoch [23/100], Training Loss: 0.3449, Training Accuracy: 96.97%, Validation Accuracy: 88.89%
Epoch [24/100], Training Loss: 0.3437, Training Accuracy: 97.10%, Validation Accuracy: 88.89%
Epoch [25/100], Training Loss: 0.3419, Training Accuracy: 97.10%, Validation Accuracy: 88.89%
Epoch [26/100], Training Loss: 0.3413, Training Accuracy: 97.16%, Validation Accuracy: 88.38%
Epoch [27/100], Training Loss: 0.3415, Training Accuracy: 97.35%, Validation Accuracy: 87.37%
Epoch [28/100], Training Loss: 0.3396, Training Accuracy: 97.73%, Validation Accuracy: 87.88%
Epoch [29/100], Training Loss: 0.3375, Training Accuracy: 97.85%, Validation Accuracy: 89.39%
Epoch [30/100], Training Loss: 0.3378, Training Accuracy: 97.66%, Validation Accuracy: 89.90%
Epoch [31/100], Training Loss: 0.3349, Training Accuracy: 98.04%, Validation Accuracy: 90.40%
Epoch [32/100], Training Loss: 0.3332, Training Accuracy: 98.23%, Validation Accuracy: 89.90%
Epoch [33/100], Training Loss: 0.3338, Training Accuracy: 98.17%, Validation Accuracy: 88.38%
Epoch [34/100], Training Loss: 0.3350, Training Accuracy: 97.92%, Validation Accuracy: 87.88%
Epoch [35/100], Training Loss: 0.3335, Training Accuracy: 98.17%, Validation Accuracy: 90.40%
Epoch [36/100], Training Loss: 0.3314, Training Accuracy: 98.42%, Validation Accuracy: 90.40%
Epoch [37/100], Training Loss: 0.3327, Training Accuracy: 98.23%, Validation Accuracy: 90.40%
Epoch [38/100], Training Loss: 0.3312, Training Accuracy: 98.36%, Validation Accuracy: 88.89%
Epoch [39/100], Training Loss: 0.3327, Training Accuracy: 98.30%, Validation Accuracy: 89.39%
Epoch [40/100], Training Loss: 0.3312, Training Accuracy: 98.36%, Validation Accuracy: 90.40%
Epoch [41/100], Training Loss: 0.3307, Training Accuracy: 98.36%, Validation Accuracy: 89.39%
Epoch [42/100], Training Loss: 0.3301, Training Accuracy: 98.36%, Validation Accuracy: 90.40%
Epoch [43/100], Training Loss: 0.3308, Training Accuracy: 98.36%, Validation Accuracy: 88.38%
Epoch [44/100], Training Loss: 0.3317, Training Accuracy: 98.23%, Validation Accuracy: 88.89%
Epoch [45/100], Training Loss: 0.3307, Training Accuracy: 98.36%, Validation Accuracy: 88.38%
Epoch [46/100], Training Loss: 0.3309, Training Accuracy: 98.23%, Validation Accuracy: 87.88%
Epoch [47/100], Training Loss: 0.3324, Training Accuracy: 98.17%, Validation Accuracy: 90.40%
Epoch [48/100], Training Loss: 0.3306, Training Accuracy: 98.36%, Validation Accuracy: 90.40%
