
Fold 1/10
Epoch [1/100], Training Loss: 0.5855, Training Accuracy: 70.90%, Validation Accuracy: 53.54%
Epoch [2/100], Training Loss: 0.4689, Training Accuracy: 83.71%, Validation Accuracy: 82.32%
Epoch [3/100], Training Loss: 0.4339, Training Accuracy: 87.69%, Validation Accuracy: 82.83%
Epoch [4/100], Training Loss: 0.4064, Training Accuracy: 90.91%, Validation Accuracy: 85.86%
Epoch [5/100], Training Loss: 0.3924, Training Accuracy: 92.30%, Validation Accuracy: 85.35%
Epoch [6/100], Training Loss: 0.3837, Training Accuracy: 92.87%, Validation Accuracy: 87.37%
Epoch [7/100], Training Loss: 0.3745, Training Accuracy: 94.00%, Validation Accuracy: 88.38%
Epoch [8/100], Training Loss: 0.3610, Training Accuracy: 95.45%, Validation Accuracy: 87.37%
Epoch [9/100], Training Loss: 0.3603, Training Accuracy: 95.14%, Validation Accuracy: 88.38%
Epoch [10/100], Training Loss: 0.3573, Training Accuracy: 95.45%, Validation Accuracy: 87.88%
Epoch [11/100], Training Loss: 0.3539, Training Accuracy: 95.90%, Validation Accuracy: 89.90%
Epoch [12/100], Training Loss: 0.3431, Training Accuracy: 97.10%, Validation Accuracy: 88.38%
Epoch [13/100], Training Loss: 0.3414, Training Accuracy: 97.16%, Validation Accuracy: 89.90%
Epoch [14/100], Training Loss: 0.3392, Training Accuracy: 97.54%, Validation Accuracy: 87.88%
Epoch [15/100], Training Loss: 0.3415, Training Accuracy: 97.22%, Validation Accuracy: 88.89%
Epoch [16/100], Training Loss: 0.3387, Training Accuracy: 97.47%, Validation Accuracy: 89.39%
Epoch [17/100], Training Loss: 0.3382, Training Accuracy: 97.66%, Validation Accuracy: 88.89%
Epoch [18/100], Training Loss: 0.3389, Training Accuracy: 97.54%, Validation Accuracy: 89.39%
Epoch [19/100], Training Loss: 0.3390, Training Accuracy: 97.41%, Validation Accuracy: 89.39%
Epoch [20/100], Training Loss: 0.3365, Training Accuracy: 97.73%, Validation Accuracy: 90.40%
Epoch [21/100], Training Loss: 0.3358, Training Accuracy: 97.79%, Validation Accuracy: 88.89%
Epoch [22/100], Training Loss: 0.3366, Training Accuracy: 97.73%, Validation Accuracy: 89.39%
Epoch [23/100], Training Loss: 0.3354, Training Accuracy: 97.79%, Validation Accuracy: 89.90%
