
Fold 1/10
Epoch [1/100], Training Loss: 0.6855, Training Accuracy: 55.05%, Validation Accuracy: 48.48%
Epoch [2/100], Training Loss: 0.6617, Training Accuracy: 57.89%, Validation Accuracy: 48.48%
Epoch [3/100], Training Loss: 0.6339, Training Accuracy: 62.56%, Validation Accuracy: 73.74%
Epoch [4/100], Training Loss: 0.5903, Training Accuracy: 78.09%, Validation Accuracy: 69.70%
Epoch [5/100], Training Loss: 0.5610, Training Accuracy: 76.14%, Validation Accuracy: 78.79%
Epoch [6/100], Training Loss: 0.5356, Training Accuracy: 82.07%, Validation Accuracy: 77.27%
Epoch [7/100], Training Loss: 0.5070, Training Accuracy: 83.40%, Validation Accuracy: 79.29%
Epoch [8/100], Training Loss: 0.4882, Training Accuracy: 84.28%, Validation Accuracy: 79.80%
Epoch [9/100], Training Loss: 0.4699, Training Accuracy: 85.61%, Validation Accuracy: 82.32%
Epoch [10/100], Training Loss: 0.4640, Training Accuracy: 86.43%, Validation Accuracy: 82.32%
Epoch [11/100], Training Loss: 0.4488, Training Accuracy: 87.63%, Validation Accuracy: 82.83%
Epoch [12/100], Training Loss: 0.4439, Training Accuracy: 87.06%, Validation Accuracy: 83.33%
Epoch [13/100], Training Loss: 0.4436, Training Accuracy: 87.94%, Validation Accuracy: 83.33%
Epoch [14/100], Training Loss: 0.4334, Training Accuracy: 88.83%, Validation Accuracy: 82.83%
Epoch [15/100], Training Loss: 0.4307, Training Accuracy: 89.27%, Validation Accuracy: 83.33%
Epoch [16/100], Training Loss: 0.4273, Training Accuracy: 89.71%, Validation Accuracy: 83.33%
Epoch [17/100], Training Loss: 0.4248, Training Accuracy: 89.33%, Validation Accuracy: 84.34%
Epoch [18/100], Training Loss: 0.4169, Training Accuracy: 90.85%, Validation Accuracy: 83.84%
Epoch [19/100], Training Loss: 0.4118, Training Accuracy: 90.53%, Validation Accuracy: 84.85%
Epoch [20/100], Training Loss: 0.4157, Training Accuracy: 90.97%, Validation Accuracy: 85.35%
Epoch [21/100], Training Loss: 0.4020, Training Accuracy: 91.54%, Validation Accuracy: 85.86%
Epoch [22/100], Training Loss: 0.4106, Training Accuracy: 92.23%, Validation Accuracy: 85.86%
Epoch [23/100], Training Loss: 0.3974, Training Accuracy: 92.11%, Validation Accuracy: 85.86%
Epoch [24/100], Training Loss: 0.4030, Training Accuracy: 92.61%, Validation Accuracy: 86.36%
Epoch [25/100], Training Loss: 0.4023, Training Accuracy: 91.92%, Validation Accuracy: 85.86%
Epoch [26/100], Training Loss: 0.3894, Training Accuracy: 92.55%, Validation Accuracy: 86.87%
Epoch [27/100], Training Loss: 0.3856, Training Accuracy: 92.80%, Validation Accuracy: 87.37%
Epoch [28/100], Training Loss: 0.3812, Training Accuracy: 93.06%, Validation Accuracy: 86.87%
Epoch [29/100], Training Loss: 0.3825, Training Accuracy: 92.93%, Validation Accuracy: 86.87%
Epoch [30/100], Training Loss: 0.3887, Training Accuracy: 93.12%, Validation Accuracy: 87.37%
Epoch [31/100], Training Loss: 0.3844, Training Accuracy: 93.88%, Validation Accuracy: 86.87%
Epoch [32/100], Training Loss: 0.3805, Training Accuracy: 94.00%, Validation Accuracy: 87.37%
Epoch [33/100], Training Loss: 0.3785, Training Accuracy: 93.94%, Validation Accuracy: 88.38%
Epoch [34/100], Training Loss: 0.3822, Training Accuracy: 93.88%, Validation Accuracy: 87.88%
Epoch [35/100], Training Loss: 0.3812, Training Accuracy: 94.63%, Validation Accuracy: 88.89%
Epoch [36/100], Training Loss: 0.3710, Training Accuracy: 94.82%, Validation Accuracy: 88.38%
Epoch [37/100], Training Loss: 0.3668, Training Accuracy: 95.33%, Validation Accuracy: 88.89%
Epoch [38/100], Training Loss: 0.3643, Training Accuracy: 95.27%, Validation Accuracy: 89.39%
Epoch [39/100], Training Loss: 0.3688, Training Accuracy: 95.33%, Validation Accuracy: 88.38%
Epoch [40/100], Training Loss: 0.3647, Training Accuracy: 95.33%, Validation Accuracy: 88.89%
Epoch [41/100], Training Loss: 0.3657, Training Accuracy: 95.64%, Validation Accuracy: 88.89%
Epoch [42/100], Training Loss: 0.3587, Training Accuracy: 96.02%, Validation Accuracy: 88.38%
Epoch [43/100], Training Loss: 0.3613, Training Accuracy: 95.71%, Validation Accuracy: 89.39%
Epoch [44/100], Training Loss: 0.3564, Training Accuracy: 96.34%, Validation Accuracy: 89.90%
Epoch [45/100], Training Loss: 0.3532, Training Accuracy: 96.59%, Validation Accuracy: 89.90%
Epoch [46/100], Training Loss: 0.3553, Training Accuracy: 96.40%, Validation Accuracy: 89.39%
Epoch [47/100], Training Loss: 0.3537, Training Accuracy: 96.72%, Validation Accuracy: 89.90%
Epoch [48/100], Training Loss: 0.3528, Training Accuracy: 96.65%, Validation Accuracy: 89.39%
Epoch [49/100], Training Loss: 0.3506, Training Accuracy: 96.78%, Validation Accuracy: 89.90%
Epoch [50/100], Training Loss: 0.3565, Training Accuracy: 96.78%, Validation Accuracy: 89.39%
Epoch [51/100], Training Loss: 0.3452, Training Accuracy: 97.22%, Validation Accuracy: 89.39%
Epoch [52/100], Training Loss: 0.3503, Training Accuracy: 96.65%, Validation Accuracy: 88.89%
Epoch [53/100], Training Loss: 0.3504, Training Accuracy: 96.91%, Validation Accuracy: 89.39%
Epoch [54/100], Training Loss: 0.3474, Training Accuracy: 96.97%, Validation Accuracy: 88.89%
Epoch [55/100], Training Loss: 0.3471, Training Accuracy: 96.72%, Validation Accuracy: 89.90%
Epoch [56/100], Training Loss: 0.3474, Training Accuracy: 97.10%, Validation Accuracy: 89.39%
Epoch [57/100], Training Loss: 0.3441, Training Accuracy: 96.97%, Validation Accuracy: 89.39%
Epoch [58/100], Training Loss: 0.3455, Training Accuracy: 97.35%, Validation Accuracy: 89.90%
Epoch [59/100], Training Loss: 0.3417, Training Accuracy: 97.29%, Validation Accuracy: 89.39%
Epoch [60/100], Training Loss: 0.3442, Training Accuracy: 97.10%, Validation Accuracy: 89.90%
Epoch [61/100], Training Loss: 0.3496, Training Accuracy: 96.91%, Validation Accuracy: 89.39%
Epoch [62/100], Training Loss: 0.3465, Training Accuracy: 96.97%, Validation Accuracy: 88.89%
Epoch [63/100], Training Loss: 0.3403, Training Accuracy: 97.35%, Validation Accuracy: 88.89%
Epoch [64/100], Training Loss: 0.3440, Training Accuracy: 97.60%, Validation Accuracy: 89.39%
Epoch [65/100], Training Loss: 0.3395, Training Accuracy: 97.35%, Validation Accuracy: 89.39%
Epoch [66/100], Training Loss: 0.3420, Training Accuracy: 97.29%, Validation Accuracy: 89.39%
Epoch [67/100], Training Loss: 0.3382, Training Accuracy: 97.41%, Validation Accuracy: 89.39%
Epoch [68/100], Training Loss: 0.3369, Training Accuracy: 97.54%, Validation Accuracy: 89.39%
Epoch [69/100], Training Loss: 0.3359, Training Accuracy: 97.92%, Validation Accuracy: 89.39%
Epoch [70/100], Training Loss: 0.3365, Training Accuracy: 97.73%, Validation Accuracy: 88.89%
Epoch [71/100], Training Loss: 0.3393, Training Accuracy: 97.85%, Validation Accuracy: 89.39%
Epoch [72/100], Training Loss: 0.3394, Training Accuracy: 97.47%, Validation Accuracy: 88.89%
Epoch [73/100], Training Loss: 0.3410, Training Accuracy: 97.60%, Validation Accuracy: 89.39%
Epoch [74/100], Training Loss: 0.3376, Training Accuracy: 98.23%, Validation Accuracy: 88.89%
Epoch [75/100], Training Loss: 0.3448, Training Accuracy: 97.79%, Validation Accuracy: 89.39%
Epoch [76/100], Training Loss: 0.3386, Training Accuracy: 97.79%, Validation Accuracy: 89.39%
Epoch [77/100], Training Loss: 0.3347, Training Accuracy: 98.17%, Validation Accuracy: 89.39%
Epoch [78/100], Training Loss: 0.3346, Training Accuracy: 98.17%, Validation Accuracy: 89.39%
Epoch [79/100], Training Loss: 0.3352, Training Accuracy: 98.30%, Validation Accuracy: 88.89%
Epoch [80/100], Training Loss: 0.3332, Training Accuracy: 98.17%, Validation Accuracy: 88.89%
Epoch [81/100], Training Loss: 0.3338, Training Accuracy: 98.17%, Validation Accuracy: 88.89%
Epoch [82/100], Training Loss: 0.3349, Training Accuracy: 98.11%, Validation Accuracy: 89.39%
Epoch [83/100], Training Loss: 0.3325, Training Accuracy: 98.30%, Validation Accuracy: 89.39%
Epoch [84/100], Training Loss: 0.3369, Training Accuracy: 98.11%, Validation Accuracy: 89.39%
Epoch [85/100], Training Loss: 0.3336, Training Accuracy: 98.23%, Validation Accuracy: 89.39%
