
Fold 1/10
Epoch [1/100], Training Loss: 0.6854, Training Accuracy: 56.00%, Validation Accuracy: 50.00%
Epoch [2/100], Training Loss: 0.6637, Training Accuracy: 56.69%, Validation Accuracy: 51.01%
Epoch [3/100], Training Loss: 0.6345, Training Accuracy: 68.18%, Validation Accuracy: 80.30%
Epoch [4/100], Training Loss: 0.5865, Training Accuracy: 74.37%, Validation Accuracy: 79.29%
Epoch [5/100], Training Loss: 0.5537, Training Accuracy: 80.62%, Validation Accuracy: 84.85%
Epoch [6/100], Training Loss: 0.5269, Training Accuracy: 83.33%, Validation Accuracy: 83.84%
Epoch [7/100], Training Loss: 0.5025, Training Accuracy: 84.22%, Validation Accuracy: 86.87%
Epoch [8/100], Training Loss: 0.4794, Training Accuracy: 84.97%, Validation Accuracy: 86.87%
Epoch [9/100], Training Loss: 0.4785, Training Accuracy: 85.35%, Validation Accuracy: 86.36%
Epoch [10/100], Training Loss: 0.4583, Training Accuracy: 86.17%, Validation Accuracy: 86.87%
Epoch [11/100], Training Loss: 0.4554, Training Accuracy: 87.18%, Validation Accuracy: 86.87%
Epoch [12/100], Training Loss: 0.4426, Training Accuracy: 88.19%, Validation Accuracy: 87.37%
Epoch [13/100], Training Loss: 0.4374, Training Accuracy: 88.83%, Validation Accuracy: 86.87%
Epoch [14/100], Training Loss: 0.4244, Training Accuracy: 89.71%, Validation Accuracy: 88.38%
Epoch [15/100], Training Loss: 0.4282, Training Accuracy: 88.95%, Validation Accuracy: 88.89%
Epoch [16/100], Training Loss: 0.4160, Training Accuracy: 90.21%, Validation Accuracy: 89.39%
Epoch [17/100], Training Loss: 0.4201, Training Accuracy: 90.09%, Validation Accuracy: 88.89%
Epoch [18/100], Training Loss: 0.4143, Training Accuracy: 90.59%, Validation Accuracy: 87.37%
Epoch [19/100], Training Loss: 0.4115, Training Accuracy: 90.34%, Validation Accuracy: 89.39%
Epoch [20/100], Training Loss: 0.4063, Training Accuracy: 91.67%, Validation Accuracy: 88.38%
Epoch [21/100], Training Loss: 0.4006, Training Accuracy: 91.60%, Validation Accuracy: 87.88%
Epoch [22/100], Training Loss: 0.3975, Training Accuracy: 91.16%, Validation Accuracy: 89.39%
Epoch [23/100], Training Loss: 0.4012, Training Accuracy: 91.92%, Validation Accuracy: 88.89%
Epoch [24/100], Training Loss: 0.3948, Training Accuracy: 91.98%, Validation Accuracy: 89.39%
Epoch [25/100], Training Loss: 0.3902, Training Accuracy: 92.42%, Validation Accuracy: 87.88%
Epoch [26/100], Training Loss: 0.3933, Training Accuracy: 92.87%, Validation Accuracy: 88.38%
Epoch [27/100], Training Loss: 0.3818, Training Accuracy: 93.06%, Validation Accuracy: 87.37%
Epoch [28/100], Training Loss: 0.3857, Training Accuracy: 93.50%, Validation Accuracy: 87.88%
Epoch [29/100], Training Loss: 0.3777, Training Accuracy: 93.94%, Validation Accuracy: 87.88%
Epoch [30/100], Training Loss: 0.3752, Training Accuracy: 93.43%, Validation Accuracy: 88.38%
Epoch [31/100], Training Loss: 0.3766, Training Accuracy: 94.00%, Validation Accuracy: 86.87%
Epoch [32/100], Training Loss: 0.3808, Training Accuracy: 94.57%, Validation Accuracy: 87.88%
Epoch [33/100], Training Loss: 0.3750, Training Accuracy: 94.57%, Validation Accuracy: 87.37%
Epoch [34/100], Training Loss: 0.3718, Training Accuracy: 94.89%, Validation Accuracy: 87.37%
Epoch [35/100], Training Loss: 0.3753, Training Accuracy: 94.44%, Validation Accuracy: 86.87%
Epoch [36/100], Training Loss: 0.3791, Training Accuracy: 94.63%, Validation Accuracy: 87.37%
Epoch [37/100], Training Loss: 0.3646, Training Accuracy: 95.08%, Validation Accuracy: 87.37%
Epoch [38/100], Training Loss: 0.3738, Training Accuracy: 95.77%, Validation Accuracy: 87.37%
Epoch [39/100], Training Loss: 0.3605, Training Accuracy: 95.45%, Validation Accuracy: 87.37%
Epoch [40/100], Training Loss: 0.3651, Training Accuracy: 95.71%, Validation Accuracy: 87.37%
Epoch [41/100], Training Loss: 0.3600, Training Accuracy: 95.96%, Validation Accuracy: 87.88%
Epoch [42/100], Training Loss: 0.3537, Training Accuracy: 96.28%, Validation Accuracy: 87.37%
Epoch [43/100], Training Loss: 0.3548, Training Accuracy: 96.28%, Validation Accuracy: 88.89%
Epoch [44/100], Training Loss: 0.3563, Training Accuracy: 96.40%, Validation Accuracy: 88.38%
Epoch [45/100], Training Loss: 0.3543, Training Accuracy: 96.72%, Validation Accuracy: 88.89%
Epoch [46/100], Training Loss: 0.3525, Training Accuracy: 97.10%, Validation Accuracy: 88.89%
Epoch [47/100], Training Loss: 0.3458, Training Accuracy: 97.41%, Validation Accuracy: 88.38%
Epoch [48/100], Training Loss: 0.3462, Training Accuracy: 97.03%, Validation Accuracy: 88.89%
Epoch [49/100], Training Loss: 0.3494, Training Accuracy: 97.22%, Validation Accuracy: 88.38%
Epoch [50/100], Training Loss: 0.3480, Training Accuracy: 97.16%, Validation Accuracy: 88.89%
Epoch [51/100], Training Loss: 0.3452, Training Accuracy: 97.10%, Validation Accuracy: 88.89%
Epoch [52/100], Training Loss: 0.3483, Training Accuracy: 97.41%, Validation Accuracy: 88.38%
Epoch [53/100], Training Loss: 0.3440, Training Accuracy: 97.22%, Validation Accuracy: 88.89%
Epoch [54/100], Training Loss: 0.3467, Training Accuracy: 97.54%, Validation Accuracy: 88.89%
Epoch [55/100], Training Loss: 0.3403, Training Accuracy: 97.47%, Validation Accuracy: 88.38%
Epoch [56/100], Training Loss: 0.3423, Training Accuracy: 97.47%, Validation Accuracy: 88.38%
Epoch [57/100], Training Loss: 0.3403, Training Accuracy: 97.47%, Validation Accuracy: 88.89%
Epoch [58/100], Training Loss: 0.3403, Training Accuracy: 97.54%, Validation Accuracy: 88.89%
Epoch [59/100], Training Loss: 0.3412, Training Accuracy: 97.47%, Validation Accuracy: 88.89%
Epoch [60/100], Training Loss: 0.3383, Training Accuracy: 97.60%, Validation Accuracy: 88.38%
Epoch [61/100], Training Loss: 0.3402, Training Accuracy: 97.73%, Validation Accuracy: 88.38%
Epoch [62/100], Training Loss: 0.3435, Training Accuracy: 97.47%, Validation Accuracy: 87.88%
Epoch [63/100], Training Loss: 0.3399, Training Accuracy: 97.85%, Validation Accuracy: 88.38%
Epoch [64/100], Training Loss: 0.3397, Training Accuracy: 97.79%, Validation Accuracy: 87.88%
Epoch [65/100], Training Loss: 0.3411, Training Accuracy: 97.66%, Validation Accuracy: 87.37%
Epoch [66/100], Training Loss: 0.3388, Training Accuracy: 97.73%, Validation Accuracy: 87.88%
Epoch [67/100], Training Loss: 0.3365, Training Accuracy: 97.85%, Validation Accuracy: 87.88%
Epoch [68/100], Training Loss: 0.3332, Training Accuracy: 98.23%, Validation Accuracy: 87.88%
Epoch [69/100], Training Loss: 0.3382, Training Accuracy: 97.92%, Validation Accuracy: 87.88%
Epoch [70/100], Training Loss: 0.3346, Training Accuracy: 97.66%, Validation Accuracy: 87.88%
Epoch [71/100], Training Loss: 0.3395, Training Accuracy: 97.92%, Validation Accuracy: 87.37%
Epoch [72/100], Training Loss: 0.3323, Training Accuracy: 98.04%, Validation Accuracy: 86.87%
Epoch [73/100], Training Loss: 0.3323, Training Accuracy: 98.23%, Validation Accuracy: 86.87%
Epoch [74/100], Training Loss: 0.3324, Training Accuracy: 98.11%, Validation Accuracy: 86.36%
Epoch [75/100], Training Loss: 0.3328, Training Accuracy: 98.17%, Validation Accuracy: 86.36%
Epoch [76/100], Training Loss: 0.3325, Training Accuracy: 98.17%, Validation Accuracy: 87.37%
Epoch [77/100], Training Loss: 0.3315, Training Accuracy: 98.48%, Validation Accuracy: 87.88%
Epoch [78/100], Training Loss: 0.3348, Training Accuracy: 98.11%, Validation Accuracy: 87.88%
Epoch [79/100], Training Loss: 0.3386, Training Accuracy: 97.79%, Validation Accuracy: 86.36%
Epoch [80/100], Training Loss: 0.3303, Training Accuracy: 98.30%, Validation Accuracy: 87.88%
Epoch [81/100], Training Loss: 0.3316, Training Accuracy: 98.17%, Validation Accuracy: 87.37%
Epoch [82/100], Training Loss: 0.3336, Training Accuracy: 98.23%, Validation Accuracy: 86.36%
Epoch [83/100], Training Loss: 0.3306, Training Accuracy: 98.42%, Validation Accuracy: 86.36%
Epoch [84/100], Training Loss: 0.3303, Training Accuracy: 98.55%, Validation Accuracy: 86.87%
