
Fold 1/10
Epoch [1/100], Training Loss: 0.6874, Training Accuracy: 54.10%, Validation Accuracy: 48.48%
Epoch [2/100], Training Loss: 0.6575, Training Accuracy: 58.59%, Validation Accuracy: 48.48%
Epoch [3/100], Training Loss: 0.6205, Training Accuracy: 67.93%, Validation Accuracy: 65.66%
Epoch [4/100], Training Loss: 0.5811, Training Accuracy: 77.46%, Validation Accuracy: 76.26%
Epoch [5/100], Training Loss: 0.5463, Training Accuracy: 80.49%, Validation Accuracy: 77.27%
Epoch [6/100], Training Loss: 0.5137, Training Accuracy: 81.57%, Validation Accuracy: 83.84%
Epoch [7/100], Training Loss: 0.5111, Training Accuracy: 84.09%, Validation Accuracy: 78.79%
Epoch [8/100], Training Loss: 0.4864, Training Accuracy: 83.14%, Validation Accuracy: 83.84%
Epoch [9/100], Training Loss: 0.4716, Training Accuracy: 85.29%, Validation Accuracy: 80.81%
Epoch [10/100], Training Loss: 0.4552, Training Accuracy: 86.49%, Validation Accuracy: 83.84%
Epoch [11/100], Training Loss: 0.4479, Training Accuracy: 87.18%, Validation Accuracy: 84.34%
Epoch [12/100], Training Loss: 0.4491, Training Accuracy: 87.94%, Validation Accuracy: 84.85%
Epoch [13/100], Training Loss: 0.4331, Training Accuracy: 88.32%, Validation Accuracy: 85.35%
Epoch [14/100], Training Loss: 0.4254, Training Accuracy: 88.89%, Validation Accuracy: 85.86%
Epoch [15/100], Training Loss: 0.4349, Training Accuracy: 89.52%, Validation Accuracy: 85.35%
Epoch [16/100], Training Loss: 0.4276, Training Accuracy: 89.58%, Validation Accuracy: 87.37%
Epoch [17/100], Training Loss: 0.4259, Training Accuracy: 90.59%, Validation Accuracy: 86.87%
Epoch [18/100], Training Loss: 0.4080, Training Accuracy: 90.66%, Validation Accuracy: 86.36%
Epoch [19/100], Training Loss: 0.4156, Training Accuracy: 90.53%, Validation Accuracy: 87.37%
Epoch [20/100], Training Loss: 0.4038, Training Accuracy: 90.85%, Validation Accuracy: 86.36%
Epoch [21/100], Training Loss: 0.4069, Training Accuracy: 90.85%, Validation Accuracy: 87.88%
