
Fold 1/10
Epoch [1/100], Training Loss: 0.6864, Training Accuracy: 54.86%, Validation Accuracy: 49.49%
Epoch [2/100], Training Loss: 0.6616, Training Accuracy: 58.46%, Validation Accuracy: 49.49%
Epoch [3/100], Training Loss: 0.6200, Training Accuracy: 70.08%, Validation Accuracy: 77.27%
Epoch [4/100], Training Loss: 0.5697, Training Accuracy: 77.34%, Validation Accuracy: 81.31%
Epoch [5/100], Training Loss: 0.5467, Training Accuracy: 80.74%, Validation Accuracy: 82.83%
Epoch [6/100], Training Loss: 0.5095, Training Accuracy: 82.26%, Validation Accuracy: 87.37%
Epoch [7/100], Training Loss: 0.4905, Training Accuracy: 84.09%, Validation Accuracy: 87.37%
Epoch [8/100], Training Loss: 0.4743, Training Accuracy: 85.67%, Validation Accuracy: 86.36%
Epoch [9/100], Training Loss: 0.4666, Training Accuracy: 85.73%, Validation Accuracy: 86.36%
Epoch [10/100], Training Loss: 0.4561, Training Accuracy: 86.87%, Validation Accuracy: 85.35%
Epoch [11/100], Training Loss: 0.4440, Training Accuracy: 87.56%, Validation Accuracy: 85.86%
Epoch [12/100], Training Loss: 0.4409, Training Accuracy: 88.19%, Validation Accuracy: 86.87%
Epoch [13/100], Training Loss: 0.4310, Training Accuracy: 88.38%, Validation Accuracy: 86.36%
Epoch [14/100], Training Loss: 0.4306, Training Accuracy: 88.45%, Validation Accuracy: 87.37%
Epoch [15/100], Training Loss: 0.4290, Training Accuracy: 90.21%, Validation Accuracy: 86.87%
Epoch [16/100], Training Loss: 0.4153, Training Accuracy: 90.15%, Validation Accuracy: 87.88%
Epoch [17/100], Training Loss: 0.4144, Training Accuracy: 90.09%, Validation Accuracy: 87.37%
Epoch [18/100], Training Loss: 0.4133, Training Accuracy: 90.09%, Validation Accuracy: 88.38%
Epoch [19/100], Training Loss: 0.4071, Training Accuracy: 91.10%, Validation Accuracy: 88.38%
Epoch [20/100], Training Loss: 0.4024, Training Accuracy: 91.04%, Validation Accuracy: 87.88%
Epoch [21/100], Training Loss: 0.4019, Training Accuracy: 91.92%, Validation Accuracy: 87.88%
Epoch [22/100], Training Loss: 0.4066, Training Accuracy: 92.23%, Validation Accuracy: 87.37%
Epoch [23/100], Training Loss: 0.3942, Training Accuracy: 93.50%, Validation Accuracy: 87.88%
Epoch [24/100], Training Loss: 0.3923, Training Accuracy: 92.99%, Validation Accuracy: 86.87%
Epoch [25/100], Training Loss: 0.3835, Training Accuracy: 93.69%, Validation Accuracy: 88.89%
Epoch [26/100], Training Loss: 0.3823, Training Accuracy: 93.94%, Validation Accuracy: 88.89%
Epoch [27/100], Training Loss: 0.3816, Training Accuracy: 93.75%, Validation Accuracy: 88.38%
Epoch [28/100], Training Loss: 0.3800, Training Accuracy: 94.26%, Validation Accuracy: 88.89%
Epoch [29/100], Training Loss: 0.3760, Training Accuracy: 94.26%, Validation Accuracy: 88.89%
Epoch [30/100], Training Loss: 0.3718, Training Accuracy: 94.38%, Validation Accuracy: 88.38%
Epoch [31/100], Training Loss: 0.3719, Training Accuracy: 94.51%, Validation Accuracy: 88.38%
Epoch [32/100], Training Loss: 0.3712, Training Accuracy: 95.08%, Validation Accuracy: 88.38%
Epoch [33/100], Training Loss: 0.3667, Training Accuracy: 95.14%, Validation Accuracy: 88.89%
Epoch [34/100], Training Loss: 0.3688, Training Accuracy: 95.33%, Validation Accuracy: 88.89%
Epoch [35/100], Training Loss: 0.3655, Training Accuracy: 95.33%, Validation Accuracy: 88.38%
Epoch [36/100], Training Loss: 0.3698, Training Accuracy: 95.20%, Validation Accuracy: 89.39%
Epoch [37/100], Training Loss: 0.3656, Training Accuracy: 95.27%, Validation Accuracy: 87.88%
Epoch [38/100], Training Loss: 0.3616, Training Accuracy: 95.33%, Validation Accuracy: 89.39%
Epoch [39/100], Training Loss: 0.3713, Training Accuracy: 95.45%, Validation Accuracy: 89.90%
Epoch [40/100], Training Loss: 0.3576, Training Accuracy: 96.02%, Validation Accuracy: 89.39%
Epoch [41/100], Training Loss: 0.3561, Training Accuracy: 96.09%, Validation Accuracy: 89.39%
Epoch [42/100], Training Loss: 0.3600, Training Accuracy: 96.34%, Validation Accuracy: 89.90%
