
Fold 1/10
Epoch [1/100], Training Loss: 0.6904, Training Accuracy: 53.66%, Validation Accuracy: 47.47%
Epoch [2/100], Training Loss: 0.6640, Training Accuracy: 58.14%, Validation Accuracy: 52.53%
Epoch [3/100], Training Loss: 0.6279, Training Accuracy: 66.16%, Validation Accuracy: 78.79%
Epoch [4/100], Training Loss: 0.5839, Training Accuracy: 77.59%, Validation Accuracy: 77.78%
Epoch [5/100], Training Loss: 0.5465, Training Accuracy: 79.80%, Validation Accuracy: 84.85%
Epoch [6/100], Training Loss: 0.5153, Training Accuracy: 82.89%, Validation Accuracy: 79.29%
Epoch [7/100], Training Loss: 0.5060, Training Accuracy: 82.01%, Validation Accuracy: 83.33%
Epoch [8/100], Training Loss: 0.4803, Training Accuracy: 84.41%, Validation Accuracy: 82.32%
Epoch [9/100], Training Loss: 0.4739, Training Accuracy: 84.03%, Validation Accuracy: 84.85%
Epoch [10/100], Training Loss: 0.4590, Training Accuracy: 86.81%, Validation Accuracy: 84.85%
Epoch [11/100], Training Loss: 0.4536, Training Accuracy: 86.17%, Validation Accuracy: 85.35%
Epoch [12/100], Training Loss: 0.4388, Training Accuracy: 87.94%, Validation Accuracy: 85.86%
Epoch [13/100], Training Loss: 0.4369, Training Accuracy: 88.95%, Validation Accuracy: 85.35%
Epoch [14/100], Training Loss: 0.4294, Training Accuracy: 89.33%, Validation Accuracy: 85.35%
Epoch [15/100], Training Loss: 0.4272, Training Accuracy: 89.27%, Validation Accuracy: 85.35%
Epoch [16/100], Training Loss: 0.4158, Training Accuracy: 89.84%, Validation Accuracy: 86.36%
Epoch [17/100], Training Loss: 0.4201, Training Accuracy: 90.21%, Validation Accuracy: 86.87%
Epoch [18/100], Training Loss: 0.4152, Training Accuracy: 90.85%, Validation Accuracy: 87.37%
Epoch [19/100], Training Loss: 0.4088, Training Accuracy: 91.54%, Validation Accuracy: 86.87%
Epoch [20/100], Training Loss: 0.4124, Training Accuracy: 91.22%, Validation Accuracy: 86.36%
Epoch [21/100], Training Loss: 0.4022, Training Accuracy: 91.48%, Validation Accuracy: 87.88%
Epoch [22/100], Training Loss: 0.4035, Training Accuracy: 92.17%, Validation Accuracy: 88.38%
Epoch [23/100], Training Loss: 0.3965, Training Accuracy: 92.36%, Validation Accuracy: 88.38%
Epoch [24/100], Training Loss: 0.4033, Training Accuracy: 91.98%, Validation Accuracy: 87.88%
Epoch [25/100], Training Loss: 0.3946, Training Accuracy: 92.74%, Validation Accuracy: 88.89%
Epoch [26/100], Training Loss: 0.3863, Training Accuracy: 93.06%, Validation Accuracy: 88.89%
Epoch [27/100], Training Loss: 0.3840, Training Accuracy: 93.18%, Validation Accuracy: 88.89%
Epoch [28/100], Training Loss: 0.3821, Training Accuracy: 93.69%, Validation Accuracy: 88.89%
