"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000154045.1_ASM15404v1","GCF_000182385.1_ASM18238v1"
"groL_2","","60 kDa chaperonin","2","2","1","517","105","","","","1232","1643","1437","GCF_000154045.1_ASM15404v1_04072","GCF_000182385.1_ASM18238v1_04281"
"group_101","","hypothetical protein","2","2","1","523","407","","","","929","1346","1137","GCF_000154045.1_ASM15404v1_05127","GCF_000182385.1_ASM18238v1_03550"
"group_106","","hypothetical protein","2","2","1","519","179","","","","353","1397","875","GCF_000154045.1_ASM15404v1_04376","GCF_000182385.1_ASM18238v1_03832"
"gltP_2","","Proton/glutamate-aspartate symporter","2","2","1","514","49","","","","311","1253","782","GCF_000154045.1_ASM15404v1_03701","GCF_000182385.1_ASM18238v1_03751"
"leuB","","3-isopropylmalate dehydrogenase","2","2","1","521","99","","","","923","1091","1007","GCF_000154045.1_ASM15404v1_00339","GCF_000182385.1_ASM18238v1_03186"
"fabD","","Malonyl CoA-acyl carrier protein transacylase","2","2","1","513","4","","","","224","941","582","GCF_000154045.1_ASM15404v1_00353","GCF_000182385.1_ASM18238v1_01467"
"group_118","","hypothetical protein","2","2","1","517","151","","","","1898","2954","2426","GCF_000154045.1_ASM15404v1_03646","GCF_000182385.1_ASM18238v1_04340"
"bepE_2","","Efflux pump membrane transporter BepE","2","2","1","521","268","","","","692","3122","1907","GCF_000154045.1_ASM15404v1_04764","GCF_000182385.1_ASM18238v1_02866"
"group_125","","hypothetical protein","2","2","1","517","85","","","","188","188","188","GCF_000154045.1_ASM15404v1_04110","GCF_000182385.1_ASM18238v1_02604"
"ushA_1","","Protein UshA","2","2","1","519","49","","","","1022","1694","1358","GCF_000154045.1_ASM15404v1_02049","GCF_000182385.1_ASM18238v1_04066"
"group_132","","hypothetical protein","2","2","1","524","859","","","","467","869","668","GCF_000154045.1_ASM15404v1_01316","GCF_000182385.1_ASM18238v1_00600"
"group_134","","hypothetical protein","2","2","1","521","35","","","","980","1259","1119","GCF_000154045.1_ASM15404v1_04650","GCF_000182385.1_ASM18238v1_03255"
"prfA_1","","Peptide chain release factor RF1","2","2","1","503","5","","","","350","977","663","GCF_000154045.1_ASM15404v1_00122","GCF_000182385.1_ASM18238v1_01645"
"mtlD_2","","Mannitol-1-phosphate 5-dehydrogenase","2","2","1","521","73","","","","1148","1151","1149","GCF_000154045.1_ASM15404v1_05344","GCF_000182385.1_ASM18238v1_03209"
"ptsI_1","","hypothetical protein","2","2","1","521","17","","","","680","2399","1539","GCF_000154045.1_ASM15404v1_00164","GCF_000182385.1_ASM18238v1_03206"
"ygbN","","Low-affinity gluconate transporter","2","2","1","521","294","","","","662","1376","1019","GCF_000154045.1_ASM15404v1_00403","GCF_000182385.1_ASM18238v1_02896"
"zraR","","Transcriptional regulatory protein ZraR","2","2","1","521","310","","","","1067","1343","1205","GCF_000154045.1_ASM15404v1_00243","GCF_000182385.1_ASM18238v1_02912"
"liuE_3","","3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase","2","2","1","523","248","","","","902","902","902","GCF_000154045.1_ASM15404v1_04516","GCF_000182385.1_ASM18238v1_03397"
"birA","","Bifunctional ligase/repressor BirA","2","2","1","498","2","","","","563","965","764","GCF_000154045.1_ASM15404v1_02307","GCF_000182385.1_ASM18238v1_03694"
"dadA1_1","","D-amino acid dehydrogenase 1","2","2","1","523","873","","","","1256","1256","1256","GCF_000154045.1_ASM15404v1_04914","GCF_000182385.1_ASM18238v1_02255"
"crr","","PTS system glucose-specific EIIA component","2","2","1","522","246","","","","332","509","420","GCF_000154045.1_ASM15404v1_05239","GCF_000182385.1_ASM18238v1_02714"
"rpsF","","30S ribosomal protein S6","2","2","1","517","26","","","","128","389","258","GCF_000154045.1_ASM15404v1_00345","GCF_000182385.1_ASM18238v1_01504"
