#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","LVP1","SAMN11579495","PRJNA541191","GCA_013393845.1","Complete",5.31064,45.2035,"chromosome 1:NZ_CP040100.1/CP040100.1; chromosome 2:NZ_CP040099.1/CP040099.1",,2,4803,"2020-07-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/393/845/GCA_013393845.1_ASM1339384v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/393/845/GCF_013393845.1_ASM1339384v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","R13","SAMN08774111","PRJNA439331","GCA_003119375.1","Complete",5.44128,45.2718,"chromosome 1:NZ_CP028342.1/CP028342.1; chromosome 2:NZ_CP028343.1/CP028343.1; plasmid pVpR13_19Kb:NZ_CP028344.1/CP028344.1; plasmid pVpR13_55Kb:NZ_CP028345.1/CP028345.1; plasmid pVpR13_71Kb:NZ_CP028346.1/CP028346.1",,5,4764,"2018-05-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/119/375/GCF_003119375.1_ASM311937v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","R14","SAMN08744595","PRJNA439331","GCA_003076895.1","Complete",5.44414,45.2695,"chromosome 1:NZ_CP028141.1/CP028141.1; chromosome 2:NZ_CP028142.1/CP028142.1; plasmid pVpR14_20Kb:NZ_CP028143.1/CP028143.1; plasmid pVpR14_56Kb:NZ_CP028144.1/CP028144.1; plasmid pVpR14_74Kb:NZ_CP028145.1/CP028145.1",,5,4770,"2018-05-02T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/076/895/GCF_003076895.1_ASM307689v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","HZ-52","SAMN13706869","PRJNA503785","GCA_028609665.1","Complete",5.55808,45.3429,"chromosome I:CP047985.1; chromosome II:CP047986.1; plasmid pHZ52-1:CP047987.1; plasmid pHZ52-2:CP047988.1; plasmid pHZ52-3:CP047989.1",,5,5138,"2023-02-13T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/609/665/GCF_028609665.1_ASM2860966v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP-R","SAMN06042545","PRJNA263814","GCA_002220985.3","Complete",5.24941,45.1696,"chromosome 1:NZ_CP022552.2/CP022552.2; chromosome 2:NZ_CP022553.2/CP022553.2",,2,4680,"2017-07-25T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/985/GCF_002220985.3_HGAP"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","64","SAMN18394829","PRJNA716109","GCA_019321785.1","Complete",5.42701,45.2718,"chromosome 1:NZ_CP074415.1/CP074415.1; chromosome 2:NZ_CP074416.1/CP074416.1; plasmid unnamed1:NZ_CP074417.1/CP074417.1; plasmid unnamed2:NZ_CP074418.1/CP074418.1",,4,4915,"2021-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/321/785/GCA_019321785.1_ASM1932178v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/321/785/GCF_019321785.1_ASM1932178v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MVP1","SAMN06061934","PRJNA355061","GCA_001996365.2","Complete",5.38921,45.2729,"chromosome 1:NZ_CP043421.1/CP043421.1; chromosome 2:NZ_CP043422.1/CP043422.1; plasmid pVa:NZ_CP043423.1/CP043423.1",,3,4760,"2019-08-28T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/996/365/GCF_001996365.2_ASM199636v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","S107-1","SAMN08851398","PRJNA448597","GCA_003047085.1","Complete",5.20333,45.4014,"chromosome 1:NZ_CP028481.1/CP028481.1; chromosome 2:NZ_CP028482.1/CP028482.1",,2,4463,"2018-04-10T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/047/085/GCF_003047085.1_ASM304708v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PH1339","SAMN32136210","PRJNA910658","GCA_030064615.1","Complete",5.43228,45.3076,"chromosome 1:CP114183.1; chromosome 2:CP114184.1; plasmid unnamed:CP114185.1",,3,4850,"2023-05-23T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/064/615/GCF_030064615.1_ASM3006461v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","LH80","SAMN17188276","PRJNA503785","GCA_021729985.1","Complete",5.36193,45.1689,"chromosome I:NZ_CP068627.1/CP068627.1; chromosome II:NZ_CP068628.1/CP068628.1; plasmid pLH80-1:NZ_CP068629.1/CP068629.1",,3,4818,"2022-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/729/985/GCA_021729985.1_ASM2172998v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/729/985/GCF_021729985.1_ASM2172998v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","19-VB00998","SAMN16252928","PRJNA665365","GCA_025920025.1","Complete",6.09318,44.086,"chromosome 1:NZ_CP062150.1/CP062150.1; chromosome 2:NZ_CP062151.1/CP062151.1; plasmid pVP-19-VB00998:NZ_CP062152.1/CP062152.1",,3,5626,"2022-10-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/920/025/GCF_025920025.1_ASM2592002v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","20140722001-1","SAMN10436686","PRJNA503785","GCA_009883835.1","Complete",5.56306,45.2718,"chromosome I:NZ_CP034289.1/CP034289.1; chromosome II:NZ_CP034290.1/CP034290.1; plasmid pVPCZ2014-1:NZ_CP034291.1/CP034291.1; plasmid pVPCZ2014-2:NZ_CP034292.1/CP034292.1; plasmid pVPCZ2014-3:NZ_CP034293.1/CP034293.1",,5,4952,"2020-01-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/883/835/GCF_009883835.1_ASM988383v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","VP220218","SAMN32966975","PRJNA929593","GCA_028551295.1","Complete",5.46082,45.1526,"chromosome 1:NZ_CP117038.1/CP117038.1; chromosome 2:NZ_CP117039.1/CP117039.1; plasmid pVP220218-1:NZ_CP117040.1/CP117040.1; plasmid pVP220218-2:NZ_CP117041.1/CP117041.1",,4,4875,"2023-02-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/551/295/GCF_028551295.1_ASM2855129v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","2013V-1181","SAMN12648285","PRJNA266293","GCA_009763565.1","Complete",5.29207,45.3,"chromosome 1:NZ_CP046783.1/CP046783.1; chromosome 2:NZ_CP046784.1/CP046784.1",,2,4749,"2019-12-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/763/565/GCF_009763565.1_ASM976356v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","G855","SAMN35083686","PRJNA972533","GCA_030059845.1","Complete",5.44157,45.1607,"chromosome 1:NZ_CP125856.1/CP125856.1; chromosome 2:NZ_CP125857.1/CP125857.1; plasmid p1:NZ_CP125858.1/CP125858.1; plasmid p2:NZ_CP125859.1/CP125859.1",,4,4826,"2023-05-22T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/059/845/GCF_030059845.1_ASM3005984v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","CHN25","SAMN03325855","PRJNA274308","GCA_001700835.1","Complete",5.4434,45.1939,"chromosome 1:NZ_CP010883.1/CP010883.1; chromosome 2:NZ_CP010884.1/CP010884.1; plasmid P1:NZ_CP010885.1/CP010885.1; plasmid P2:NZ_CP010886.1/CP010886.1; plasmid P3:NZ_CP010887.1/CP010887.1",,5,4817,"2016-08-09T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/835/GCF_001700835.1_ASM170083v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","PH1273","SAMN32136211","PRJNA910658","GCA_030064635.1","Complete",5.57151,44.9939,"chromosome 1:CP114186.1; chromosome 2:CP114187.1; plasmid unnamed1:CP114188.1; plasmid unnamed2:CP114189.1",,4,4967,"2023-05-23T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/064/635/GCF_030064635.1_ASM3006463v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","FORC_072","SAMN07629020","PRJNA404039","GCA_003612695.1","Complete",5.18824,45.3032,"chromosome 1:NZ_CP023472.1/CP023472.1; chromosome 2:NZ_CP023473.1/CP023473.1",,2,4616,"2018-10-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/695/GCF_003612695.1_ASM361269v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","2013V-1136","SAMN12648283","PRJNA266293","GCA_009763605.1","Complete",5.17059,45.3029,"chromosome 1:NZ_CP046785.1/CP046785.1; chromosome 2:NZ_CP046786.1/CP046786.1",,2,4532,"2019-12-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/763/605/GCF_009763605.1_ASM976360v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","20130629002S01","SAMN06310878","PRJNA371680","GCA_003085735.1","Complete",5.40482,45.357,"chromosome I:NZ_CP020034.1/CP020034.1; chromosome II:NZ_CP020035.1/CP020035.1; plasmid pVPGX1:NZ_CP020036.1/CP020036.1; plasmid pVPGX2:NZ_CP020037.1/CP020037.1",,4,4840,"2018-05-02T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/085/735/GCF_003085735.1_ASM308573v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","GL-601","SAMN28511831","PRJNA839109","GCA_025917745.1","Complete",5.44611,45.3213,"chromosome 1:NZ_CP097873.1/CP097873.1; chromosome 2:NZ_CP097874.1/CP097874.1; plasmid pva1:NZ_CP097871.1/CP097871.1; plasmid pva2:NZ_CP097872.1/CP097872.1",,4,4847,"2022-10-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/917/745/GCF_025917745.1_ASM2591774v1"
