locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000154045.1_ASM15404v1_00001	CDS	543				hypothetical protein
GCF_000154045.1_ASM15404v1_00002	CDS	183	gor_1	1.8.1.7	COG1249	Glutathione reductase
GCF_000154045.1_ASM15404v1_00003	CDS	579				hypothetical protein
GCF_000154045.1_ASM15404v1_00004	CDS	201	secD_1		COG0342	Protein translocase subunit SecD
GCF_000154045.1_ASM15404v1_00005	CDS	363	mmsB_1	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
GCF_000154045.1_ASM15404v1_00006	CDS	333	ppiB_1	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
GCF_000154045.1_ASM15404v1_00007	CDS	216	dhaL_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
GCF_000154045.1_ASM15404v1_00008	CDS	1794	metH_1	2.1.1.13	COG0646	Methionine synthase
GCF_000154045.1_ASM15404v1_00009	CDS	513	rbsR_1		COG1609	Ribose operon repressor
GCF_000154045.1_ASM15404v1_00010	CDS	927	leuB_1	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
GCF_000154045.1_ASM15404v1_00011	CDS	306	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
GCF_000154045.1_ASM15404v1_00012	CDS	357				hypothetical protein
GCF_000154045.1_ASM15404v1_00013	CDS	510	cqsS_1	2.7.13.3		CAI-1 autoinducer sensor kinase/phosphatase CqsS
GCF_000154045.1_ASM15404v1_00014	CDS	222				hypothetical protein
GCF_000154045.1_ASM15404v1_00015	CDS	177				hypothetical protein
GCF_000154045.1_ASM15404v1_00016	CDS	669				hypothetical protein
GCF_000154045.1_ASM15404v1_00017	CDS	516	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
GCF_000154045.1_ASM15404v1_00018	CDS	357				hypothetical protein
GCF_000154045.1_ASM15404v1_00019	CDS	222				hypothetical protein
GCF_000154045.1_ASM15404v1_00020	CDS	459				hypothetical protein
GCF_000154045.1_ASM15404v1_00021	CDS	171	hinT_1	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
GCF_000154045.1_ASM15404v1_00022	CDS	588				hypothetical protein
GCF_000154045.1_ASM15404v1_00023	CDS	510	barA_1	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GCF_000154045.1_ASM15404v1_00024	CDS	813	melR_1			Melibiose operon regulatory protein
GCF_000154045.1_ASM15404v1_00025	CDS	582				hypothetical protein
GCF_000154045.1_ASM15404v1_00026	CDS	252	yhgF_1		COG2183	Protein YhgF
GCF_000154045.1_ASM15404v1_00027	CDS	666	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
GCF_000154045.1_ASM15404v1_00028	CDS	423				hypothetical protein
GCF_000154045.1_ASM15404v1_00029	CDS	339				hypothetical protein
GCF_000154045.1_ASM15404v1_00030	CDS	534	rplF_1		COG0097	50S ribosomal protein L6
GCF_000154045.1_ASM15404v1_00031	CDS	540	hemL_1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
GCF_000154045.1_ASM15404v1_00032	CDS	417				hypothetical protein
GCF_000154045.1_ASM15404v1_00033	CDS	723				hypothetical protein
GCF_000154045.1_ASM15404v1_00034	CDS	741	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
GCF_000154045.1_ASM15404v1_00035	CDS	498		3.4.24.3		Microbial collagenase
GCF_000154045.1_ASM15404v1_00036	CDS	216				hypothetical protein
GCF_000154045.1_ASM15404v1_00037	CDS	192				hypothetical protein
GCF_000154045.1_ASM15404v1_00038	CDS	381	mukB_1		COG3096	Chromosome partition protein MukB
GCF_000154045.1_ASM15404v1_00039	CDS	285				hypothetical protein
GCF_000154045.1_ASM15404v1_00040	CDS	393	dgcT	2.7.7.65		putative diguanylate cyclase DgcT
GCF_000154045.1_ASM15404v1_00041	CDS	582	csdA_1	2.8.1.7	COG0520	Cysteine desulfurase CsdA
GCF_000154045.1_ASM15404v1_00042	CDS	690	groL_1			60 kDa chaperonin
GCF_000154045.1_ASM15404v1_00043	CDS	402	umpA_1			Na(+), Li(+), K(+)/H(+) antiporter subunit A
GCF_000154045.1_ASM15404v1_00044	CDS	426				hypothetical protein
GCF_000154045.1_ASM15404v1_00045	CDS	291	tdh1_1			Thermostable direct hemolysin 1
GCF_000154045.1_ASM15404v1_00046	CDS	444	galT_1	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
GCF_000154045.1_ASM15404v1_00047	CDS	468	syd_1			Protein Syd
GCF_000154045.1_ASM15404v1_00048	CDS	186				hypothetical protein
GCF_000154045.1_ASM15404v1_00049	CDS	195				hypothetical protein
GCF_000154045.1_ASM15404v1_00050	CDS	273	mutS_1		COG0249	DNA mismatch repair protein MutS
GCF_000154045.1_ASM15404v1_00051	CDS	942		5.4.2.8	COG1109	putative phosphomannomutase
GCF_000154045.1_ASM15404v1_00052	CDS	270	sucB_2	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
GCF_000154045.1_ASM15404v1_00053	CDS	1356	mgtE_1		COG2239	Magnesium transporter MgtE
GCF_000154045.1_ASM15404v1_00054	CDS	276	ptsO		COG1925	Phosphocarrier protein NPr
GCF_000154045.1_ASM15404v1_00055	CDS	864	rapZ		COG1660	RNase adapter protein RapZ
GCF_000154045.1_ASM15404v1_00056	CDS	447	ptsN_1		COG1762	Nitrogen regulatory protein
GCF_000154045.1_ASM15404v1_00057	CDS	327				hypothetical protein
