Biosample_ID,Isolation_Source,Host_Source,Description_Source,Label,genome_ID
SAMN02952920,missing,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus 10329,Clinical,GCF_000195415.1_ASM19541v2
SAMN02470919,seafood (corb shell),host_source_NA,Sample from Vibrio parahaemolyticus SNUVpS-1,Non_clinical,GCF_000315135.1_De_novo
SAMN02469951,seafood,host_source_NA,Sample from Vibrio parahaemolyticus PCV08-7,Non_clinical,GCF_000347495.1_VibParPCV08-7_1.0
SAMN02471143,shrimp,Homo sapiens,Sample from Vibrio parahaemolyticus v110,Non_clinical,GCF_000388025.1_SOAPdenovo_version_1.05_for_Vibrio_parahaemolyticus_strain_v110
SAMN02179882,oyster,host_source_NA,Pathogen sample from Vibrio parahaemolyticus,Non_clinical,GCF_000430405.1_ASM43040v1
SAMN02179884,stool,Homo sapiens,Pathogen sample from Vibrio parahaemolyticus,Clinical,GCF_000430425.1_ASM43042v1
SAMN02435811,water,host_source_NA,Generic sample from Vibrio parahaemolyticus VPCR-2010,Non_clinical,GCF_000454475.1_ASM45447v1
SAMN02189720,human gut,host_source_NA,Human gut genome,Clinical,GCF_000477475.1_ASM47747v1
SAMN02339020,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S174,Non_clinical,GCF_000489015.1_S174
SAMN02339019,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S173,Non_clinical,GCF_000489035.1_S173
SAMN02339018,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S172,Non_clinical,GCF_000489055.1_S172
SAMN02339017,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S171,Non_clinical,GCF_000489075.1_S171
SAMN02339016,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S170,Non_clinical,GCF_000489095.1_S170
SAMN02339015,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S168,Non_clinical,GCF_000489115.1_S168
SAMN02339014,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S167,Non_clinical,GCF_000489135.1_S167
SAMN02339013,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S166,Non_clinical,GCF_000489155.1_S166
SAMN02339012,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S165,Non_clinical,GCF_000489175.1_S165
SAMN02339011,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S164,Non_clinical,GCF_000489195.1_S164
SAMN02339010,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S163,Non_clinical,GCF_000489215.1_S163
SAMN02339009,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S162,Non_clinical,GCF_000489235.1_S162
SAMN02339008,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S161,Non_clinical,GCF_000489255.1_S161
SAMN02339007,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S160,Non_clinical,GCF_000489275.1_S160
SAMN02339006,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S159,Non_clinical,GCF_000489295.1_S159
SAMN02339005,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S158,Non_clinical,GCF_000489315.1_S158
SAMN02339004,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S157,Non_clinical,GCF_000489335.1_S157
SAMN02339003,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S156,Non_clinical,GCF_000489355.1_S156
SAMN02339002,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S155,Non_clinical,GCF_000489375.1_S155
SAMN02339001,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S154,Non_clinical,GCF_000489395.1_S154
SAMN02339000,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S153,Non_clinical,GCF_000489415.1_S153
SAMN02338999,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S152,Non_clinical,GCF_000489435.1_S152
SAMN02338998,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S151,Non_clinical,GCF_000489455.1_S151
SAMN02338997,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S150,Non_clinical,GCF_000489475.1_S150
SAMN02338996,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S148,Non_clinical,GCF_000489495.1_S148
SAMN02338995,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S147,Non_clinical,GCF_000489515.1_S147
SAMN02338994,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S146,Non_clinical,GCF_000489535.1_S146
SAMN02338993,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S145,Non_clinical,GCF_000489555.1_S145
SAMN02338992,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S144,Non_clinical,GCF_000489575.1_S144
SAMN02338991,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S143,Non_clinical,GCF_000489595.1_S143
SAMN02338990,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S142,Non_clinical,GCF_000489615.1_S142
SAMN02338989,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S141,Non_clinical,GCF_000489635.1_S141
SAMN02338988,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S140,Non_clinical,GCF_000489655.1_S140
SAMN02338987,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S139,Non_clinical,GCF_000489675.1_S139
SAMN02338986,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S138,Clinical,GCF_000489695.1_S138
SAMN02338985,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S137,Clinical,GCF_000489715.1_S137
SAMN02338984,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S136,Clinical,GCF_000489735.1_S136
SAMN02338983,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S135,Clinical,GCF_000489755.1_S135
SAMN02338982,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S134,Clinical,GCF_000489775.1_S134
SAMN02338981,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S133,Clinical,GCF_000489795.1_S133
SAMN02338980,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S132,Clinical,GCF_000489815.1_S132
SAMN02338979,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S131,Clinical,GCF_000489835.1_S131
SAMN02338978,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S130,Clinical,GCF_000489855.1_S130
SAMN02338977,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S129,Clinical,GCF_000489875.1_S129
SAMN02338976,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S128,Clinical,GCF_000489895.1_S128
SAMN02338975,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S126,Clinical,GCF_000489915.1_S126
SAMN02338974,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S125,Non_clinical,GCF_000489935.1_S125
SAMN02338973,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S124,Clinical,GCF_000489955.1_S124
SAMN02338972,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S123,Clinical,GCF_000489975.1_S123
SAMN02338971,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S122,Clinical,GCF_000489995.1_S122
SAMN02338970,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S121,Clinical,GCF_000490015.1_S121
SAMN02338969,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S120,Clinical,GCF_000490035.1_S120
SAMN02338968,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S119,Clinical,GCF_000490055.1_S119
SAMN02338967,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S118,Clinical,GCF_000490075.1_S118
SAMN02338966,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S117,Clinical,GCF_000490095.1_S117
SAMN02338965,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S116,Clinical,GCF_000490115.1_S116
SAMN02338964,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S115,Clinical,GCF_000490135.1_S115
SAMN02338963,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S114,Clinical,GCF_000490155.1_S114
SAMN02338962,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S113,Clinical,GCF_000490175.1_S113
SAMN02338961,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S112,Clinical,GCF_000490195.1_S112
SAMN02338960,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S111,Clinical,GCF_000490215.1_S111
SAMN02338959,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S110,Clinical,GCF_000490235.1_S110
SAMN02338958,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S109,Clinical,GCF_000490255.1_S109
SAMN02338957,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S108,Clinical,GCF_000490275.1_S108
SAMN02338956,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S106,Clinical,GCF_000490295.1_S106
SAMN02338955,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S105,Clinical,GCF_000490315.1_S105
SAMN02338954,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S104,Clinical,GCF_000490335.1_S104
SAMN02338953,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S101,Non_clinical,GCF_000490355.1_S101
SAMN02338952,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S100,Non_clinical,GCF_000490375.1_S100
SAMN02338951,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S098,Non_clinical,GCF_000490395.1_S098
SAMN02338950,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S097,Clinical,GCF_000490415.1_S097
SAMN02338948,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S095,Clinical,GCF_000490445.1_S095
SAMN02338947,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S094,Clinical,GCF_000490465.1_S094
SAMN02338946,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S093,Clinical,GCF_000490485.1_S093
